FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_SW,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Agelenidae,family,Arthropoda,Arachnida,Araneae,Agelenidae,NA,2494,90,34,43,2460,89,34,43
Amaurobiidae,family,Arthropoda,Arachnida,Araneae,Amaurobiidae,Arctobius,897,43,17,17,892,43,17,17
Anapidae,family,Arthropoda,Arachnida,Araneae,Anapidae,Comaroma,79,0,0,0,79,0,0,0
Anyphaenidae,family,Arthropoda,Arachnida,Araneae,Anyphaenidae,Anyphaena,2110,117,34,61,2068,117,34,61
Araneidae,family,Arthropoda,Arachnida,Araneae,Araneidae,Aculepeira,11802,983,280,553,11458,967,280,552
Caponiidae,family,Arthropoda,Arachnida,Araneae,Caponiidae,NA,72,0,0,0,69,0,0,0
Clubionidae,family,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,3896,105,46,52,3870,105,46,52
Corinnidae,family,Arthropoda,Arachnida,Araneae,Corinnidae,NA,942,56,0,23,915,53,0,23
Ctenidae,family,Arthropoda,Arachnida,Araneae,Ctenidae,NA,660,1,0,0,658,1,0,0
Cybaeidae,family,Arthropoda,Arachnida,Araneae,Cybaeidae,Blabomma,538,56,11,11,511,54,11,11
Desidae,family,Arthropoda,Arachnida,Araneae,Desidae,Badumna,292,59,9,56,292,59,9,56
Dictynidae,family,Arthropoda,Arachnida,Araneae,Dictynidae,Dictyna,3734,211,71,167,3652,209,71,167
Diguetidae,family,Arthropoda,Arachnida,Araneae,Diguetidae,Diguetia,6,6,0,4,6,6,0,4
Dysderidae,family,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,950,14,8,8,948,14,8,8
Filistatidae,family,Arthropoda,Arachnida,Araneae,Filistatidae,Kukulcania,80,17,2,17,79,17,2,17
Gnaphosidae,family,Arthropoda,Arachnida,Araneae,Gnaphosidae,Gnaphosa,3233,466,65,140,3142,464,65,140
Homalonychidae,family,Arthropoda,Arachnida,Araneae,Homalonychidae,Homalonychus,18,0,0,0,18,0,0,0
Hypochilidae,family,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus,46,2,0,0,38,2,0,0
Leptonetidae,family,Arthropoda,Arachnida,Araneae,Leptonetidae,Leptonetela,1186,65,0,0,1186,65,0,0
Linyphiidae,family,Arthropoda,Arachnida,Araneae,Linyphiidae,Hilaira,24261,715,56,61,23197,597,56,61
Liocranidae,family,Arthropoda,Arachnida,Araneae,Liocranidae,Agroeca,288,15,2,2,284,15,2,2
Lycosidae,family,Arthropoda,Arachnida,Araneae,Lycosidae,Pardosa,12878,1862,200,527,12653,1841,200,527
Mimetidae,family,Arthropoda,Arachnida,Araneae,Mimetidae,Mimetus,264,32,6,27,263,32,6,27
Miturgidae,family,Arthropoda,Arachnida,Araneae,Miturgidae,Zora,95,1,0,0,95,1,0,0
Mysmenidae,family,Arthropoda,Arachnida,Araneae,Mysmenidae,NA,228,0,0,0,228,0,0,0
Nemesiidae,family,Arthropoda,Arachnida,Araneae,Nemesiidae,Aname,1337,3,0,1,1329,3,0,1
Nesticidae,family,Arthropoda,Arachnida,Araneae,Nesticidae,Nesticella,512,63,1,2,512,63,1,2
Oecobiidae,family,Arthropoda,Arachnida,Araneae,Oecobiidae,Oecobius,98,19,17,18,96,19,17,18
Oonopidae,family,Arthropoda,Arachnida,Araneae,Oonopidae,NA,790,0,0,0,751,0,0,0
Oxyopidae,family,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,1075,211,47,117,1056,211,47,117
Philodromidae,family,Arthropoda,Arachnida,Araneae,Philodromidae,Philodromus,3311,182,46,88,3288,182,46,88
Pholcidae,family,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,1661,76,25,47,1615,76,25,47
Phrurolithidae,family,Arthropoda,Arachnida,Araneae,Phrurolithidae,Phrurotimpus,485,16,1,2,477,16,1,2
Pimoidae,family,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa,304,8,3,3,301,8,3,3
Pisauridae,family,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaurina,727,90,0,15,720,90,0,15
Plectreuridae,family,Arthropoda,Arachnida,Araneae,Plectreuridae,Kibramoa,63,62,0,0,63,62,0,0
Prodidomidae,family,Arthropoda,Arachnida,Araneae,Prodidomidae,NA,1,0,0,0,1,0,0,0
Salticidae,family,Arthropoda,Arachnida,Araneae,Salticidae,Platycryptus,7533,822,244,545,7254,818,243,544
Scytodidae,family,Arthropoda,Arachnida,Araneae,Scytodidae,NA,613,10,0,3,592,10,0,3
Segestriidae,family,Arthropoda,Arachnida,Araneae,Segestriidae,Segestria,205,7,0,5,201,7,0,5
Selenopidae,family,Arthropoda,Arachnida,Araneae,Selenopidae,NA,995,13,0,1,984,13,0,1
Sicariidae,family,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,929,40,0,25,927,40,0,25
Sparassidae,family,Arthropoda,Arachnida,Araneae,Sparassidae,NA,1462,21,4,18,1449,21,4,18
Telemidae,family,Arthropoda,Arachnida,Araneae,Telemidae,Usofila,92,6,0,0,90,5,0,0
Tetragnathidae,family,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,5479,373,131,186,5289,373,131,186
Theraphosidae,family,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,2746,12,0,11,2666,12,0,11
Theridiidae,family,Arthropoda,Arachnida,Araneae,Theridiidae,Dipoena,9265,688,239,459,9169,685,239,459
Thomisidae,family,Arthropoda,Arachnida,Araneae,Thomisidae,NA,5674,388,65,192,5559,385,65,192
Titanoecidae,family,Arthropoda,Arachnida,Araneae,Titanoecidae,Titanoeca,127,5,2,2,123,4,2,2
Trachelidae,family,Arthropoda,Arachnida,Araneae,Trachelidae,Trachelas,504,19,7,16,475,19,7,16
Trogloraptoridae,family,Arthropoda,Arachnida,Araneae,Trogloraptoridae,Trogloraptor,2,2,0,0,2,2,0,0
Uloboridae,family,Arthropoda,Arachnida,Araneae,Uloboridae,Miagrammopes,297,26,1,4,192,26,1,4
Zodariidae,family,Arthropoda,Arachnida,Araneae,Zodariidae,Ishania,609,3,0,0,607,3,0,0
Zoropsidae,family,Arthropoda,Arachnida,Araneae,Zoropsidae,Anachemmis,49,18,16,16,49,18,16,16
Arrhopalitidae,family,Arthropoda,Collembola,Symphypleona,Arrhopalitidae,NA,144,57,0,0,143,57,0,0
Bourletiellidae,family,Arthropoda,Collembola,Symphypleona,Bourletiellidae,NA,6619,119,1,4,6602,119,1,4
Dicyrtomidae,family,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,NA,2526,127,0,0,2523,127,0,0
Katiannidae,family,Arthropoda,Collembola,Symphypleona,Katiannidae,NA,3312,91,1,2,3305,91,1,2
Sminthuridae,family,Arthropoda,Collembola,Symphypleona,Sminthuridae,NA,1882,117,0,1,1719,114,0,1
Spinothecidae,family,Arthropoda,Collembola,Symphypleona,Spinothecidae,Spinotheca,2,0,0,0,2,0,0,0
