FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Acanthina,genus,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,2,0,0,2,0,0,0
Acanthodoris,genus,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,71,25,8,66,25,8,8
Acanthodoris brunnea,species,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,3,0,0,3,0,0,0
Acanthodoris rhodoceras,species,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,5,4,4,5,4,4,4
Acanthoptilum,genus,Cnidaria,Anthozoa,Pennatulacea,Virgulariidae,Acanthoptilum,9,8,0,8,8,0,0
Omaloplia,genus,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Omaloplia,7,0,0,7,0,0,0
Acharax johnsoni,species,Mollusca,Bivalvia,Solemyida,Solemyidae,Acharax,3,0,0,3,0,0,0
Achelia echinata,species,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,4,0,0,2,0,0,0
Acila castrensis,species,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,8,6,0,4,2,0,0
Aclis,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Acoetes pacifica,species,Annelida,Polychaeta,Phyllodocida,Acoetidae,Acoetes,2,2,2,2,2,2,2
Acrocirrus,genus,Annelida,Polychaeta,Terebellida,Acrocirridae,Acrocirrus,1,0,0,1,0,0,0
Acteocina,genus,Mollusca,Gastropoda,Cephalaspidea,Tornatinidae,Acteocina,7,0,0,2,0,0,0
Acteocina cerealis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Acteocina harpa,species,Mollusca,Gastropoda,Cephalaspidea,Tornatinidae,Acteocina,3,0,0,0,0,0,0
Admete,genus,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,17,1,1,14,0,0,0
Admete viridula,species,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,8,0,0,8,0,0,0
Admete gracilior,species,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,1,1,1,0,0,0,0
Adontorhina cyclia,species,Mollusca,Bivalvia,Lucinida,Thyasiridae,Adontorhina,4,4,0,2,2,0,0
Adula,genus,Mollusca,Bivalvia,Mytilida,Mytilidae,Adula,22,10,0,19,7,0,0
Aegires albopunctatus,species,Mollusca,Gastropoda,Nudibranchia,Aegiridae,Aegires,4,2,1,4,2,1,1
Aglaja ocelligera,species,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Aglaja,1,1,1,1,1,1,1
Aglaophamus,genus,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,133,0,0,125,0,0,0
Aglaophamus verrilli,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Aglaophenia,genus,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,89,8,1,77,6,1,1
Akanthophoreus phillipsi,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Akera,genus,Mollusca,Gastropoda,Aplysiida,Akeridae,Akera,3,0,0,3,0,0,0
Alaba,genus,Mollusca,Gastropoda,NA,Litiopidae,Alaba,2,1,0,2,1,0,0
Lamprops quadriplicata,species,Arthropoda,Malacostraca,Cumacea,Lampropidae,Lamprops,1,1,1,1,1,1,1
Alcyonidium,genus,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,33,20,0,18,9,0,0
Alderia willowi,species,Mollusca,Gastropoda,NA,Limapontiidae,Alderia,64,2,1,64,2,1,1
Alia,genus,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,104,20,19,90,14,14,14
Alia carinata,species,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,87,19,19,79,14,14,14
Mitrella tuberosa,species,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,13,0,0,13,0,0,0
Alienacanthomysis,genus,Arthropoda,Malacostraca,Mysida,Mysidae,Alienacanthomysis,6,0,0,6,0,0,0
Alienacanthomysis macropsis,species,Arthropoda,Malacostraca,Mysida,Mysidae,Alienacanthomysis,6,0,0,6,0,0,0
Alpheopsis equidactylus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Alpheus,genus,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,1247,172,0,1126,164,0,0
Alpheus bellimanus,species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,2,0,0,2,0,0,0
Alpheus clamator,species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,3,0,0,3,0,0,0
Alvania,genus,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,39,9,0,36,8,0,0
Alvania compacta,species,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,9,7,0,7,6,0,0
Alvania rosana,species,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,2,0,0,1,0,0,0
Amaeana occidentalis,species,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,21,1,1,21,1,1,1
Amage anops,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage,4,4,1,0,0,0,0
Amathia distans,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Amblyops,genus,Arthropoda,Malacostraca,Mysida,Mysidae,Amblyops,2,0,0,2,0,0,0
Amblyops abbreviatus,species,Arthropoda,Malacostraca,Mysida,Mysidae,Amblyops,1,0,0,1,0,0,0
Americhelidium,genus,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Americhelidium,9,0,0,7,0,0,0
Americhelidium rectipalmum,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ammothea hilgendorfi,species,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Ammothea,6,0,0,6,0,0,0
Ampelisca,genus,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,197,49,48,168,34,33,33
Ampelisca agassizi,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,9,9,9,6,6,6,6
Ampelisca brachycladus,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,3,3,3,3,3,3,3
Ampelisca brevisimulata,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,3,3,3,2,2,2,2
Ampelisca careyi,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,18,17,17,11,10,10,10
Ampelisca hancocki,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,1,1,1,0,0,0,0
Ampelisca indentata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ampelisca lobata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ampelisca pacifica,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,1,1,1,1,1,1,1
Ampelisca pugetica,species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,6,6,6,5,5,5,5
Ampharete,genus,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,42,22,6,36,20,4,4
Ampharete acutifrons,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,11,11,5,10,10,4,4
Ampharete finmarchica,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,2,1,0,2,1,0,0
Ampharete goesi,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ampharete labrops,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,6,2,1,4,1,0,0
Amphichondrius granulatus,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphichondrius,4,4,4,2,2,2,2
Amphicteis,genus,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,9,1,1,6,1,1,1
Amphicteis mucronata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Amphicteis scaphobranchiata,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,1,1,1,1,1,1,1
Amphideutopus oculatus,species,Arthropoda,Malacostraca,Amphipoda,Kamakidae,Amphideutopus,4,4,4,3,3,3,3
Amphiduros,genus,Annelida,Polychaeta,Phyllodocida,Hesionidae,Amphiduros,5,1,0,5,1,0,0
Amphiodia,genus,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,47,33,9,39,26,7,7
Amphiodia digitata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Amphiodia psara,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,1,0,0,1,0,0,0
Amphiodia urtica,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,13,11,9,11,9,7,7
Amphioplus,genus,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus,58,2,1,53,0,0,0
Amphioplus strongyloplax,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus,2,2,1,0,0,0,0
Amphipholis,genus,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,100,32,5,84,29,5,5
Amphipholis pugetana,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,4,4,0,2,2,0,0
Amphipholis squamata,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,65,22,4,53,21,4,4
Amphiporus,genus,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,Amphiporus,111,20,0,99,20,0,0
Amphiporus cruentatus,species,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,Amphiporus,3,3,0,3,3,0,0
Amphisamytha bioculata,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphisamytha,2,1,0,2,1,0,0
Amphissa,genus,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,96,13,5,87,11,4,4
Amphissa bicolor,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Amphissa versicolor,species,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,1,0,0,1,0,0,0
Neoamphitrite robusta,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Amphiura,genus,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,79,0,0,75,0,0,0
Amphiura arcystata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Amphiura diomedeae,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ampithoe,genus,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,262,36,10,259,36,10,10
Ampithoe lacertosa,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,27,2,2,27,2,2,2
Ampithoe longimana,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,36,4,0,36,4,0,0
Ampithoe plumulosa,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,6,1,1,6,1,1,1
Ampithoe ramondi,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,13,1,0,13,1,0,0
Ampithoe valida,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,86,19,3,86,19,3,3
Ancistrosyllis,genus,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis,8,0,0,2,0,0,0
Ancistrosyllis groenlandica,species,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis,2,0,0,2,0,0,0
Ancistrosyllis hamata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Anobothrus,genus,Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,19,1,0,15,1,0,0
Anobothrus gracilis,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,2,1,0,2,1,0,0
Anonyx lilljeborgi,species,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,9,2,2,9,2,2,2
Anoplodactylus,genus,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,83,0,0,80,0,0,0
Anoplodactylus californicus,species,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,9,0,0,9,0,0,0
Anoplodactylus erectus,species,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,1,0,0,1,0,0,0
Anoplodactylus viridintestinalis,species,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,1,0,0,1,0,0,0
Anthoptilum grandiflorum,species,Cnidaria,Anthozoa,Pennatulacea,Anthoptilidae,Anthoptilum,16,5,0,10,5,0,0
Catonephele antinoe,species,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Catonephele,1,0,0,1,0,0,0
Antiplanes,genus,Mollusca,Gastropoda,Neogastropoda,Pseudomelatomidae,Antiplanes,2,0,0,2,0,0,0
Antiplanes catalinae,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Antiplanes thalea,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Aonides,genus,Annelida,Polychaeta,Spionida,Spionidae,Aonides,8,0,0,7,0,0,0
Aoroides,genus,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aoroides,21,5,1,12,5,1,1
Aoroides columbiae,species,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aoroides,3,3,1,3,3,1,1
Aoroides exilis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Aoroides inermis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Aoroides intermedius,species,Arthropoda,Malacostraca,Amphipoda,Aoridae,Aoroides,5,1,0,5,1,0,0
