input,taxid,taxon,tax_rank,tax_division,parentid,parentname,specimenrecords,representitive_image.image,representitive_image.apectratio,taxonrep
Acanthina,199875,Acanthina,genus,Animalia,269860,Ocenebrinae,22,CNOI/KFM-324+1272597546.jpg,0.848,NA
Acanthodoris,5942,Acanthodoris,genus,Animalia,1833,Onchidorididae,149,BNAGB/MT05005+1332779188.jpg,1.333,Acanthodoris
Acanthodoris brunnea,293134,Acanthodoris brunnea,species,Animalia,5942,Acanthodoris,7,DISA/3966_DISCO3966_dor_10xMagnification_2017_10_31_16_20_35_[C]+1509481272.jpg,1.499,Acanthodoris brunnea
Acanthodoris rhodoceras,717522,Acanthodoris rhodoceras,species,Animalia,5942,Acanthodoris,6,DISA/6744_img_009+1516218704.jpg,1.499,Acanthodoris rhodoceras
Acanthoptilum,293128,Acanthoptilum,genus,Animalia,293127,Virgulariidae,13,KBCSM/IMG_0422+1371249382.JPG,1.499,Acanthoptilum
Omaloplia,398272,Omaloplia,genus,Animalia,942857,Sericini,16,FBCOJ/BFB_ZSM_COLA_1686+1347558348.jpg,1.348,NA
Acharax johnsoni,600741,Acharax johnsoni,species,Animalia,600735,Acharax,8,RBCMI/IMG_0521+1396623332.JPG,1.682,Acharax johnsoni
Achelia echinata,168319,Achelia echinata,species,Animalia,103190,Achelia,11,SWEMA/GNM7463_1Pycno110V+1432219764.JPG,1.499,Achelia echinata
Acila castrensis,277685,Acila castrensis,species,Animalia,277684,Acila,32,BHAK/BHAK-12268-02a+1670549517.jpg,0.994,Acila castrensis
Aclis,1142018,Aclis,genus,Animalia,936,Eulimidae,3,HABFA/ZMBN_137859+1647626354.JPG,1.499,Aclis
Acoetes pacifica,370423,Acoetes pacifica,species,Animalia,370422,Acoetes,4,CMBIA/00140Acoetes_pacificaVRRVentral+1321990450.jpg,1.333,Acoetes pacifica
Acrocirrus,304525,Acrocirrus,genus,Animalia,125431,Acrocirridae,7,BHAK/BHAK3063_Acrocirrus_[1]+1502038544.JPG,1.499,Acrocirrus
Acteocina,276985,Acteocina,genus,Animalia,948614,Tornatinidae,23,NA,NA,NA
Acteocina cerealis,996398,Acteocina cerealis,species,Animalia,276985,Acteocina,2,NA,NA,Acteocina cerealis
Acteocina harpa,800128,Acteocina harpa,species,Animalia,276985,Acteocina,3,NA,NA,Acteocina harpa
Admete,194462,Admete,genus,Animalia,449238,Admetinae,37,NNMX/IMG_6668+1228828534.JPG,1.499,Admete
Admete viridula,315464,Admete viridula,species,Animalia,194462,Admete,16,ARBEN/P1030570+1541454270.JPG,1.333,Admete viridula
Admete gracilior,808187,Admete gracilior,species,Animalia,194462,Admete,1,NA,NA,NA
Adontorhina cyclia,808193,Adontorhina cyclia,species,Animalia,808192,Adontorhina,4,BBPS/dFHL_11559a+1585278780.jpg,1.208,Adontorhina cyclia
Adula,600733,Adula,genus,Animalia,756070,Lithophaginae,25,RBCMI/IMG_0723+1396450254.JPG,1.765,Adula
Aegires albopunctatus,722699,Aegires albopunctatus,species,Animalia,276960,Aegires,6,RBCMI/DSC_2495+1443641919.JPG,1.499,Aegires albopunctatus
Aglaja ocelligera,600868,Aglaja ocelligera,species,Animalia,103934,Aglaja,7,BHAK/dHAK_04259+1501588982.JPG,1.509,Aglaja ocelligera
Aglaophamus,377867,Aglaophamus,genus,Animalia,122714,Nephtyidae,240,NEPH/AtrissAntarctV1F1+1308070718.JPG,1.333,Aglaophamus
Aglaophamus verrilli,981318,Aglaophamus verrilli,species,Animalia,377867,Aglaophamus,4,NA,NA,NA
Aglaophenia,149588,Aglaophenia,genus,Animalia,149523,Aglaopheniidae,108,POIMB/dOIMB_03078a+1569433368.jpg,1.277,Aglaophenia
