"","FinalID","tax_rank","phylum","class","order","family","genus","BOLD_Records","BOLD_Records_USA","BOLD_Records_CA","BOLD_Records_SW","BOLD_Records_COI","BOLD_Records_COI_USA","BOLD_Records_COI_CA","BOLD_Records_COI_SW"
"1","Abranda modestina","species","Mollusca","Bivalvia","Cardiida","Tellinidae","Abranda",0,0,0,0,0,0,0,0
"2","Abronia maritima","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",3,3,3,3,0,0,0,0
"3","Abronia villosa","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",7,6,6,6,0,0,0,0
"4","Acanthinucella spirata","species","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",73,26,26,26,69,22,22,22
"5","Acanthodoris brunnea","species","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",3,0,0,0,3,0,0,0
"6","Acanthodoris rhodoceras","species","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",5,4,4,4,5,4,4,4
"7","Acanthogobius flavimanus","species","Chordata","Actinopterygii","Gobiiformes","Oxudercidae","Acanthogobius",12,3,3,3,12,3,3,3
"8","Acantholithodes hispidus","species","Arthropoda","Malacostraca","Decapoda","Hapalogastridae","Acantholithodes",6,0,0,0,6,0,0,0
"9","Acanthomunna tannerensis","species","Arthropoda","Malacostraca","Isopoda","Dendrotionidae","Acanthomunna",0,0,0,0,0,0,0,0
"10","Acanthomysis californica","species","Arthropoda","Malacostraca","Mysida","Mysidae","Acanthomysis",0,0,0,0,0,0,0,0
"11","Acharax johnsoni","species","Mollusca","Bivalvia","Solemyida","Solemyidae","Acharax",3,0,0,0,3,0,0,0
"12","Achelia echinata","species","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia",4,0,0,0,2,0,0,0
"13","Achelia simplissima","species","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia",0,0,0,0,0,0,0,0
"14","Acidostoma hancocki","species","Arthropoda","Malacostraca","Amphipoda","Acidostomatidae","Acidostoma",0,0,0,0,0,0,0,0
"15","Acila castrensis","species","Mollusca","Bivalvia","Nuculida","Nuculidae","Acila",8,6,0,0,4,2,0,0
"16","Acipenser medirostris","species","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",31,17,10,10,23,17,10,10
"17","Acipenser transmontanus","species","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",27,7,1,1,18,7,1,1
"18","Acmispon glaber","species","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",18,6,6,6,0,0,0,0
"19","Acoetes pacifica","species","Annelida","Polychaeta","Phyllodocida","Acoetidae","Acoetes",2,2,2,2,2,2,2,2
"20","Aconitum columbianum","species","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum",8,1,0,0,0,0,0,0
"21","Acromegalomma pigmentum","species","Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma",0,0,0,0,0,0,0,0
"22","Acromegalomma splendidum","species","Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma",0,0,0,0,0,0,0,0
"23","Acteocina carinata","species","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina",0,0,0,0,0,0,0,0
"24","Acteocina cerealis","species","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina",0,0,0,0,0,0,0,0
"25","Acteocina culcitella","species","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina",0,0,0,0,0,0,0,0
"26","Acteocina harpa","species","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina",3,0,0,0,0,0,0,0
"27","Acteocina inculta","species","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina",0,0,0,0,0,0,0,0
"28","Acteon traskii","species","Mollusca","Gastropoda","Cephalaspidea","Acteonidae","Acteon",0,0,0,0,0,0,0,0
"29","Actinemys marmorata","species","Chordata","Reptilia","Testudines","Emydidae","Actinemys",5,2,1,1,5,2,1,1
"30","Acuminodeutopus heteruropus","species","Arthropoda","Malacostraca","Amphipoda","Unciolidae","Acuminodeutopus",0,0,0,0,0,0,0,0
"31","Admete californica","species","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete",0,0,0,0,0,0,0,0
"32","Admete gracilior","species","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete",1,1,1,1,0,0,0,0
"33","Admete viridula","species","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete",8,0,0,0,8,0,0,0
