"","FinalID","tax_rank","phylum","class","order","family","genus","BOLD_Records","BOLD_Records_USA","BOLD_Records_CA","BOLD_Records_SW","BOLD_Records_COI","BOLD_Records_COI_USA","BOLD_Records_COI_CA","BOLD_Records_COI_SW"
"1","Acanthodoris brunnea","species","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",3,0,0,0,3,0,0,0
"2","Acanthodoris rhodoceras","species","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",5,4,4,4,5,4,4,4
"3","Acharax johnsoni","species","Mollusca","Bivalvia","Solemyida","Solemyidae","Acharax",3,0,0,0,3,0,0,0
"4","Achelia echinata","species","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia",4,0,0,0,2,0,0,0
"5","Acila castrensis","species","Mollusca","Bivalvia","Nuculida","Nuculidae","Acila",8,6,0,0,4,2,0,0
"6","Acoetes pacifica","species","Annelida","Polychaeta","Phyllodocida","Acoetidae","Acoetes",2,2,2,2,2,2,2,2
"7","Acteocina harpa","species","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina",3,0,0,0,0,0,0,0
"8","Admete viridula","species","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete",8,0,0,0,8,0,0,0
"9","Admete gracilior","species","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","Admete",1,1,1,1,0,0,0,0
"10","Adontorhina cyclia","species","Mollusca","Bivalvia","Lucinida","Thyasiridae","Adontorhina",4,4,0,0,2,2,0,0
"11","Aegires albopunctatus","species","Mollusca","Gastropoda","Nudibranchia","Aegiridae","Aegires",4,2,1,1,4,2,1,1
"12","Aglaja ocelligera","species","Mollusca","Gastropoda","Cephalaspidea","Aglajidae","Aglaja",1,1,1,1,1,1,1,1
"13","Lamprops quadriplicata","species","Arthropoda","Malacostraca","Cumacea","Lampropidae","Lamprops",1,1,1,1,1,1,1,1
"14","Alderia willowi","species","Mollusca","Gastropoda",NA,"Limapontiidae","Alderia",64,2,1,1,64,2,1,1
"15","Alia carinata","species","Mollusca","Gastropoda","Neogastropoda","Columbellidae","Alia",87,19,19,19,79,14,14,14
"16","Mitrella tuberosa","species","Mollusca","Gastropoda","Neogastropoda","Columbellidae","Mitrella",13,0,0,0,13,0,0,0
"17","Alienacanthomysis macropsis","species","Arthropoda","Malacostraca","Mysida","Mysidae","Alienacanthomysis",6,0,0,0,6,0,0,0
"18","Alpheus bellimanus","species","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus",2,0,0,0,2,0,0,0
"19","Alpheus clamator","species","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus",3,0,0,0,3,0,0,0
"20","Alvania compacta","species","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania",9,7,0,0,7,6,0,0
"21","Alvania rosana","species","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Alvania",2,0,0,0,1,0,0,0
