"","FinalID","tax_rank","phylum","class","order","family","genus","BOLD_Records","BOLD_Records_USA","BOLD_Records_CA","BOLD_Records_SW","BOLD_Records_COI","BOLD_Records_COI_USA","BOLD_Records_COI_CA","BOLD_Records_COI_SW"
"1","Abronia maritima","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",3,3,3,3,0,0,0,0
"2","Abronia villosa","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",7,6,6,6,0,0,0,0
"3","Acmispon glaber","species","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",18,6,6,6,0,0,0,0
"4","Aconitum columbianum","species","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum",8,1,0,0,0,0,0,0
"5","Agarophyton vermiculophyllum","species","Rhodophyta","Florideophyceae","Gracilariales","Gracilariaceae","Agarophyton",74,40,0,0,74,40,0,0
"6","Agrostis gigantea","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",62,6,0,0,0,0,0,0
"7","Alaria marginata","species","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria",36,3,3,3,30,2,2,2
"8","Alisma lanceolatum","species","Magnoliophyta","Liliopsida","Alismatales","Alismataceae","Alisma",19,0,0,0,0,0,0,0
"9","Alnus rubra","species","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",19,3,0,0,0,0,0,0
"10","Alnus alnobetula","species","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",8,0,0,0,0,0,0,0
"11","Alternanthera philoxeroides","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera",25,16,0,3,0,0,0,0
"12","Ambrosia chamissonis","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia",11,4,4,4,0,0,0,0
"13","Ammophila arenaria","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Ammophila",36,0,0,0,0,0,0,0
"14","Artemisia frigida","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia",23,6,0,0,0,0,0,0
"15","Arthroceras subterminale","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Arthroceras",3,2,0,0,0,0,0,0
"16","Arundo donax","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Arundo",30,3,3,3,0,0,0,0
"17","Atriplex lentiformis","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Atriplex",6,4,3,3,0,0,0,0
"18","Atriplex patula","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Atriplex",43,2,2,2,0,0,0,0
"19","Atriplex prostrata","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Atriplex",36,4,4,4,0,0,0,0
"20","Atriplex semibaccata","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Atriplex",11,4,4,4,0,0,0,0
"21","Atriplex watsonii","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Atriplex",4,3,3,3,0,0,0,0
"22","Baccharis salicifolia","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis",4,3,3,3,0,0,0,0
"23","Baccharis pilularis","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis",4,4,3,3,0,0,0,0
"24","Batis maritima","species","Magnoliophyta","Magnoliopsida","Brassicales","Bataceae","Batis",7,3,3,3,2,0,0,0
"25","Bolboschoenus maritimus","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Bolboschoenus",40,5,3,3,0,0,0,0
"26","Bolboschoenus robustus","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Bolboschoenus",1,1,0,0,0,0,0,0
"27","Brassica nigra","species","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica",38,3,3,3,1,0,0,0
"28","Bromus diandrus","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Bromus",31,4,4,4,0,0,0,0
"29","Bromus rubens","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Bromus",4,0,0,0,0,0,0,0
"30","Bryopsis hypnoides","species","Chlorophyta","Ulvophyceae","Bryopsidales","Bryopsidaceae","Bryopsis",3,0,0,0,0,0,0,0
"31","Cakile maritima","species","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Cakile",28,1,1,1,0,0,0,0
"32","Calystegia sepium","species","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Calystegia",43,0,0,0,0,0,0,0
"33","Carduus pycnocephalus","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Carduus",7,3,3,3,0,0,0,0
"34","Carex arenaria","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Carex",44,0,0,0,0,0,0,0
"35","Carex barbarae","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Carex",5,2,2,2,0,0,0,0
"36","Carex obnupta","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Carex",11,1,0,0,0,0,0,0
"37","Carpobrotus edulis","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Carpobrotus",7,2,2,2,0,0,0,0
"38","Castilleja ambigua","species","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",4,2,0,0,0,0,0,0
"39","Chloropyron maritimum","species","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Chloropyron",3,2,1,1,0,0,0,0
"40","Cicuta maculata","species","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Cicuta",54,4,4,4,0,0,0,0
"41","Codium fragile","species","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium",13,2,1,1,2,0,0,0
"42","Cressa truxillensis","species","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cressa",5,4,3,3,0,0,0,0
"43","Cuscuta californica","species","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",12,5,5,5,0,0,0,0
"44","Cuscuta salina","species","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",11,2,2,2,0,0,0,0
"45","Deschampsia cespitosa","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Deschampsia",242,2,0,0,0,0,0,0
"46","Distichlis littoralis","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Distichlis",9,4,4,4,0,0,0,0
"47","Distichlis spicata","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Distichlis",39,4,3,3,0,0,0,0
"48","Downingia pulchella","species","Magnoliophyta","Magnoliopsida","Asterales","Campanulaceae","Downingia",3,0,0,0,0,0,0,0
"49","Eleocharis coloradoensis","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Eleocharis",4,2,2,2,0,0,0,0
"50","Eleocharis pachycarpa","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Eleocharis",2,0,0,0,0,0,0,0
"51","Eleocharis parvula","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Eleocharis",18,0,0,0,0,0,0,0
"52","Leymus triticoides","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Leymus",6,0,0,0,0,0,0,0
"53","Epipactis gigantea","species","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Epipactis",13,7,6,6,0,0,0,0
"54","Equisetum arvense","species","Pteridophyta","Pteridopsida","Equisetales","Equisetaceae","Equisetum",72,6,1,1,0,0,0,0
"55","Equisetum hyemale","species","Pteridophyta","Pteridopsida","Equisetales","Equisetaceae","Equisetum",56,4,1,1,0,0,0,0
"56","Equisetum palustre","species","Pteridophyta","Pteridopsida","Equisetales","Equisetaceae","Equisetum",15,0,0,0,0,0,0,0
"57","Equisetum telmateia","species","Pteridophyta","Pteridopsida","Equisetales","Equisetaceae","Equisetum",9,1,1,1,0,0,0,0
"58","Erigeron canadensis","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron",18,4,3,3,0,0,0,0
"59","Eryngium aristulatum","species","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Eryngium",2,2,2,2,0,0,0,0
"60","Euthamia occidentalis","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Euthamia",13,12,11,11,0,0,0,0
"61","Extriplex californica","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Extriplex",9,5,4,4,0,0,0,0
"62","Frankenia palmeri","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Frankeniaceae","Frankenia",4,4,4,4,0,0,0,0
"63","Frankenia salina","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Frankeniaceae","Frankenia",5,5,4,4,0,0,0,0
"64","Fucus distichus","species","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus",170,28,1,1,125,28,1,1
"65","Geranium dissectum","species","Magnoliophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium",33,3,3,3,0,0,0,0
"66","Gracilaria pacifica","species","Rhodophyta","Florideophyceae","Gracilariales","Gracilariaceae","Gracilaria",35,6,2,2,31,4,2,2
"67","Gracilaria salicornia","species","Rhodophyta","Florideophyceae","Gracilariales","Gracilariaceae","Gracilaria",69,2,0,0,61,2,0,0
"68","Grateloupia turuturu","species","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Grateloupia",38,6,0,0,5,0,0,0
"69","Grindelia camporum","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia",4,1,1,1,0,0,0,0
"70","Hainardia cylindrica","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Hainardia",9,3,3,3,0,0,0,0
"71","Helenium autumnale","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Helenium",8,3,0,0,0,0,0,0
"72","Heliotropium curassavicum","species","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium",24,3,3,3,0,0,0,0
"73","Hesperocyparis macrocarpa","species","Pinophyta","Pinopsida","Pinales","Cupressaceae","Hesperocyparis",11,0,0,0,2,0,0,0
"74","Heterotheca grandiflora","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Heterotheca",3,3,3,3,0,0,0,0
"75","Hydrilla verticillata","species","Magnoliophyta","Liliopsida","Alismatales","Hydrocharitaceae","Hydrilla",21,5,2,2,0,0,0,0
"76","Hypericum anagalloides","species","Magnoliophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum",5,2,2,2,0,0,0,0
"77","Isocoma menziesii","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Isocoma",13,11,11,11,0,0,0,0
"78","Isolepis carinata","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Isolepis",1,0,0,0,0,0,0,0
"79","Isolepis cernua","species","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Isolepis",22,4,4,4,0,0,0,0
"80","Iva axillaris","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Iva",8,5,3,3,1,0,0,0
"81","Jaumea carnosa","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Jaumea",12,4,4,4,0,0,0,0
"82","Juncus acutus","species","Magnoliophyta","Liliopsida","Poales","Juncaceae","Juncus",18,4,4,4,0,0,0,0
"83","Juncus balticus","species","Magnoliophyta","Liliopsida","Poales","Juncaceae","Juncus",47,5,4,4,0,0,0,0
"84","Juncus breweri","species","Magnoliophyta","Liliopsida","Poales","Juncaceae","Juncus",2,0,0,0,0,0,0,0
"85","Juncus xiphioides","species","Magnoliophyta","Liliopsida","Poales","Juncaceae","Juncus",5,4,4,4,0,0,0,0
"86","Laminaria setchellii","species","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria",23,2,2,2,18,2,2,2
"87","Lasthenia glabrata","species","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Lasthenia",8,3,3,3,0,0,0,0
"88","Lepidium latifolium","species","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",41,2,2,2,0,0,0,0
"89","Lepidium oxycarpum","species","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",1,1,0,0,0,0,0,0
"90","Lilaeopsis occidentalis","species","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Lilaeopsis",8,1,0,0,0,0,0,0
"91","Limonium californicum","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Limonium",5,4,4,4,0,0,0,0
"92","Limonium ramosissimum","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Limonium",3,3,3,3,0,0,0,0
"93","Limonium sinuatum","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Limonium",7,5,5,5,0,0,0,0
"94","Lolium multiflorum","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Lolium",54,0,0,0,0,0,0,0
"95","Lotus corniculatus","species","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lotus",106,6,2,2,1,0,0,0
"96","Lupinus arboreus","species","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",11,6,2,2,0,0,0,0
"97","Lycopodium clavatum","species","Lycopodiophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodium",27,6,0,0,0,0,0,0
"98","Anagallis arvensis","species","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis",52,5,3,3,0,0,0,0
"99","Glaux maritima","species","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Glaux",24,2,0,0,0,0,0,0
"100","Macrocystis pyrifera","species","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis",25,1,1,1,14,1,1,1
"101","Mastocarpus papillatus","species","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus",66,9,2,2,55,2,2,2
"102","Nereocystis luetkeana","species","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Nereocystis",29,1,1,1,22,1,1,1
"103","Parapholis incurva","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Parapholis",23,6,4,4,0,0,0,0
"104","Paspalum distichum","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Paspalum",42,11,6,6,0,0,0,0
"105","Persicaria amphibia","species","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria",43,4,4,4,0,0,0,0
"106","Phragmites australis","species","Magnoliophyta","Liliopsida","Poales","Poaceae","Phragmites",111,14,6,6,0,0,0,0
"107","Plantago coronopus","species","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",37,4,4,4,0,0,0,0
