"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Aphrocallistes vastus","Aphrocalistes intermedia","Okada 1932",,
"Aphrocallistes vastus","Aphrocallistes whiteavesianus","Lambe 1892",,
"Aphrocallistes vastus","Aphrocallistes yatsui","Okada 1932",,
"Rhabdocalyptus dawsoni","Bathydorus dawsoni","Lambe 1893",,
"Staurocalyptus dowlingi","Rhabdocalyptus dowlingi","Lambe 1893",,
"Staurocalyptus dowlingi","Staurocalyptus solidus","of SCAMIT Ed 5 not Schulze 1899",,
"Chalinula ecbasis","Haliclona ecbasis","de Laubenfels 1930",,
"Chalinula loosanoffi","Haliclona loosanoffi","Hartman 1958",,
"Haliclona (Flagellia) edaphus","Sigmadocia edaphus","de Laubenfels 1930",,
"Haliclona (Flagellia) edaphus","Xestospongia edapha","of SCAMIT Ed 11",,
"Haliclona (Halichoclona) gellindra","Halicoclona gellindra","de Laubenfels 1932",,
"Niphates lunisimilis","Haliclona lunisimilis","de Laubenfels 1930",,
"Neopetrosia zumi","Toxadocia zumi","Ristau 1978",,
"Xestospongia dubia","Adocia dubia","Ristau 1978",,
"Raspailia (Raspaxilla) hyle","Hemectyon hyle","de Laubenfels 1930",,
"Raspailia (Raspaxilla) hyle","Endectyon (Hemectyon) hyle","of SCAMIT Ed 8",,
"Trikentrion catalina","Cyamon catalina","Sim & Bakus 1986",,
"Trikentrion catalina","Trikentrion flabelliformis","of SCAMIT Ed 5",,
"Craniella arb","Tetilla arb","de Laubenfels 1930",,
"Stelletta clarella","Stelletta estrella","de Laubenfels 1930",,
"Penares saccharis","Papyrula saccharis","de Laubenfels 1930",,
"Poecillastra tenuilaminaris","Normania tenuilaminaris","Sollas 1886",,
"Vulcanella sp A","Sphincturella sp A","Green & Bakus 1994",,
"Iophon rayae","Hymedesanisochela rayae","Bakus 1966",,
"Clathria (Clathria) asodes","Eurypon asodes","de Laubenfels 1930",,
"Clathria (Microciona) microjoanna","Microciona microjoanna","de Laubenfels 1930",,
"Clathria (Microciona) parthena","Microciona parthena","de Laubenfels 1930",,
"Clathria (Microciona) pennata","Desmacella pennata","Lambe 1895",,
"Clathria (Microciona) spongigartina","Anaata spongigartina","de Laubenfels 1930",,
"Clathria (Thalysias) originalis","Esperiopsis originalis","de Laubenfels 1930",,
"Clathria (Thalysias) originalis","Axiocielita originalis","of authors NEP",,
"Antho (Acarnia) illgi","Plocamilla illgi","Bakus 1966",,
"Antho (Acarnia) karykina","Plocamia karykina","de Laubenfels 1927",,
"Acanthancora cyanocrypta","Hymenamphiaster cyanocrypta","de Laubenfels 1930",,
"Lissodendoryx firma","Myxilla firma","Lambe 1895",,
"Lissodendoryx firma","Lissodendoryx kyma","of Green & Bakus 1994",,
"Lissodendoryx firma","Lissodendoryx noxiosa","de Laubenfels 1930",,
"Myxilla incrustans","Halichondria incrustans","Johnston 1842",,
"Myxilla incrustans","Myxilla barentsi","Lambe 1895",,
"Myxilla incrustans","Myxilla behringensis","Lambe 1895",,
"Myxilla incrustans","Myxilla rosacea","Lambe 1893",,
"Plocamiancora igzo","Plocamia igzo","de Laubenfels 1932",,
"Tedania (Tedaniopsis) gurjanovae","Tedania (Trachytedania) gurjanovae","of SCAMIT Ed 11",,
"Mycale psila","Paresperella psila","de Laubenfels 1930",,
"Cliona californiana","Cliona celata californiana","de Laubenfels 1932",,
"Tethya californiana","Tethya aurantia var californiana","de Laubenfels 1932",,
"Tethya californiana","Tethya aurantium","of authors NEP not (Pallis 1766)",,
"Suberites latus","Suberites ficus","of authors NEP in part not (Johnston 1842)",,
"Suberites latus","Suberites suberia","of SCAMIT Ed 5 not (Montagu 1818)",,
"Halichondria panicea","Spongia panicea","Pallas 1766",,
"Dysidea amblia","Duseideia amblia","de Laubenfels 1930",,
"?Dysidea fragilis","Spongia fragilis","Montagu 1814",,
"Leiosella idia","Spongia idia","de Laubenfels 1932",,
"Ailochroia thiona","Verongia thiona","de Laubenfels 1930",,
"Ailochroia thiona","Aplysina fistularis","of Sim & Bakus 1986",,
"Clathrina clathrus","Grantia clathrus","Schmidt 1864",,
"Leucandra heathi","Leuconia heathi","of de Laubenfels 1930",,
"Leucandra losangelensis","Leucetta losangelensis","de Laubenfels 1930",,
"Leucilla nuttingi","Rhabdodermella nuttingi","Urban 1902",,
"Sycon ciliatum","Spongia ciliata","Fabricius 1780",,
"Sycon ciliatum","Sycon coronatum","of de Laubenfels 1932",,
"Corymorpha bigelowi","Euphysora bigelowi","Maas 1905",,
"Corymorpha bigelowi","Euphysa bigelowi","of Uchida 1927",,
"Corymorpha bigelowi","Steenstrupia bigelowi","of Mayer 1910",,
"Euphysa sp A","Corymorpha aurata","of Fauchald & Jones 1976 not (Forbes 1848)",,
"Ectopleura crocea","Parypha crocea","L. Agassiz 1862",,
"Ectopleura crocea","Pinauay crocea","of SCAMIT Ed 6",,
"Ectopleura crocea","Tubularia crocea","of authors NEP",,
"Ectopleura marina","Tubularia marina","Torrey 1902",,
"Ectopleura marina","Pinauay marina","of SCAMIT Ed 6",,
"Coryne eximia","Syncoryne eximia","of authors NEP",,
"Bougainvilliidae sp A","Perigonimus sp A","Ljubenkov 1976 º",,
"Garveia franciscana","Bimeria franciscana","Torry 1902",,
"Rhizorhagium formosum","Perigonimus formosus","Fewkes 1889",,
"Rhizorhagium formosum","Bimeria formosa","of Torrey 1902",,
"Rhizorhagium formosum","Garveia formosa","of Fraser 1948",,
"Rhizorhagium formosum","Perigonimus serpens Cmplx","of SCAMIT Ed 4 in part",,
"Halitholus cirratus","Perigonimus yoldiarcticae","of authors NEP not Birula 1897",,
"Leuckartiara octona","Geryonia octona","Fleming 1823",,
"Leuckartiara octona","Perigonimus jonesi","Osborn & Hargitt 1894",,
