"Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Subgenus","species","Describer","Taxon"
"SILICEA",,,,,,,,,,,,,,,,,,"SILICEA"
"SILICEA",,,"Hexactinellida",,,,,,,,,,,,,,,"Hexactinellida"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,,,,,,,,,,,,"Hexasterophora"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Sceptrulophora",,,,,,,,,,,"Sceptrulophora"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Sceptrulophora",,,,"Aphrocallistidae",,,,,,,"Aphrocallistidae"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Sceptrulophora",,,,"Aphrocallistidae",,,"Aphrocallistes",,,,"Aphrocallistes sp"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Sceptrulophora",,,,"Aphrocallistidae",,,"Aphrocallistes",,"vastus","Schulze 1886","Aphrocallistes vastus"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,,,,,,,,"Lyssacinosida"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae",,,,,,,"Rossellidae"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Rossellinae",,,,,,"Rossellinae"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Rossellinae",,"Aphorme",,,,"Aphorme sp"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Rossellinae",,"Aphorme",,"horrida","Schultze 1899","Aphorme horrida"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Acanthascinae",,,,,,"Acanthascinae"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Acanthascinae",,"Rhabdocalyptus",,,,"Rhabdocalyptus sp"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Acanthascinae",,"Rhabdocalyptus",,"dawsoni","(Lambe 1893)","Rhabdocalyptus dawsoni"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Acanthascinae",,"Staurocalyptus",,,,"Staurocalyptus sp"
"SILICEA",,,"Hexactinellida","Hexasterophora",,,"Lyssacinosida",,,,"Rossellidae","Acanthascinae",,"Staurocalyptus",,"dowlingi","(Lambe 1893)","Staurocalyptus dowlingi"
"SILICEA",,,"Demospongiae",,,,,,,,,,,,,,,"Demospongiae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,,,,,,,,,,,,"Heteroscleromorpha"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,,,,,,,,"Haplosclerida"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,,,,,"Chalinidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Chalinula",,,,"Chalinula sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Chalinula",,"ecbasis","(de Laubenfels 1930)","Chalinula ecbasis"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Chalinula",,"loosanoffi","(Hartman 1958)","Chalinula loosanoffi"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Haliclona",,,,"Haliclona sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Haliclona","(Flagellia)","edaphus","(de Laubenfels 1930)","Haliclona (Flagellia) edaphus"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Haliclona","(Halichoclona)","gellindra","(de Laubenfels 1932)","Haliclona (Halichoclona) gellindra"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Chalinidae",,,"Haliclona","(Rhizoniera)","enamela","de Laubenfels 1930","Haliclona (Rhizoniera) enamela"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Niphatidae",,,,,,,"Niphatidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Niphatidae",,,"Niphates",,,,"Niphates sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Niphatidae",,,"Niphates",,"lunisimilis","(de Laubenfels 1930)","Niphates lunisimilis"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Petrosiidae",,,,,,,"Petrosiidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Petrosiidae",,,"Neopetrosia",,,,"Neopetrosia sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Petrosiidae",,,"Neopetrosia",,"zumi","(Ristau 1978)","Neopetrosia zumi"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Petrosiidae",,,"Xestospongia",,,,"Xestospongia sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Haplosclerida",,,,"Petrosiidae",,,"Xestospongia",,"dubia","(Ristau 1978)","Xestospongia dubia"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,,,,,,,,"Axinellida"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Axinellidae",,,,,,,"Axinellidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Axinellidae",,,"Axinella",,,,"Axinella"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Axinellidae",,,"Axinella",,"sp",,"Axinella sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Axinellidae",,,"Dragmacidon",,,,"Dragmacidon"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Axinellidae",,,"Dragmacidon",,"sp",,"Dragmacidon sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae",,,,,,,"Raspailiidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Raspailiinae",,,,,,"Raspailiinae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Raspailiinae",,"Raspailia",,,,"Raspailia sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Raspailiinae",,"Raspailia","(Raspaxilla)","hyle","de Laubenfels 1930","Raspailia (Raspaxilla) hyle"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Cyamoninae",,,,,,"Cyamoninae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Cyamoninae",,"Cyamon",,,,"Cyamon sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Cyamoninae",,"Cyamon",,"neon","de Laubenfels 1930","Cyamon neon"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Cyamoninae",,"Trikentrion",,,,"Trikentrion sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Raspailiidae","Cyamoninae",,"Trikentrion",,"catalina","(Sim & Bakus 1986)","Trikentrion catalina"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Stelligeridae",,,,,,,"Stelligeridae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Stelligeridae",,,"Higginsia",,,,"Higginsia"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Axinellida",,,,"Stelligeridae",,,"Higginsia",,"sp",,"Higginsia sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida",,,,,,,,,,,"Tetractinellida"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Spirophorina",,,,,,,,,,"Spirophorina"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Spirophorina",,,"Tetillidae",,,,,,,"Tetillidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Spirophorina",,,"Tetillidae",,,"Craniella",,,,"Craniella sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Spirophorina",,,"Tetillidae",,,"Craniella",,"arb","(de Laubenfels 1930)","Craniella arb"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,,,,,,,,"Astrophorina"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Ancorinidae",,,,,,,"Ancorinidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Ancorinidae",,,"Stelletta",,,,"Stelletta sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Ancorinidae",,,"Stelletta",,"clarella","de Laubenfels 1930","Stelletta clarella"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae",,,,,,,"Geodiidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Geodiinae",,,,,,"Geodiinae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Geodiinae",,"Geodia",,,,"Geodia sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Geodiinae",,"Geodia",,"gibberosa","Lamarck 1815","Geodia gibberosa"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Geodiinae",,"Geodia",,"mesotriaena","von Ledenfeld 1910","Geodia mesotriaena"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Erylinae",,,,,,"Erylinae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Erylinae",,"Penares",,,,"Penares sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Erylinae",,"Penares",,"cortius","de Laubenfels 1930","Penares cortius"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Geodiidae","Erylinae",,"Penares",,"saccharis","(de Laubenfels 1930)","Penares saccharis"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Vulcanellidae",,,,,,,"Vulcanellidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Vulcanellidae",,,"Poecillastra",,,,"Poecillastra sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Vulcanellidae",,,"Poecillastra",,"tenuilaminaris","(Sollas 1886)","Poecillastra tenuilaminaris"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Vulcanellidae",,,"Vulcanella",,,,"Vulcanella sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Tetractinellida","Astrophorina",,,"Vulcanellidae",,,"Vulcanella",,"sp A","(Green & Bakus 1994)","Vulcanella sp A"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,,,,,,,,"Poecilosclerida"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Acarnidae",,,,,,,"Acarnidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Acarnidae",,,"Acarnus",,,,"Acarnus sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Acarnidae",,,"Acarnus",,"erithacus","de Laubenfels 1927","Acarnus erithacus"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Acarnidae",,,"Iophon",,,,"Iophon sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Acarnidae",,,"Iophon",,"rayae","(Bakus 1966)","Iophon rayae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Microcionidae",,,,,,,"Microcionidae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Microcionidae","Microcioninae",,,,,,"Microcioninae"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Microcionidae","Microcioninae",,"Clathria",,,,"Clathria sp"
"SILICEA",,,"Demospongiae","Heteroscleromorpha",,,"Poecilosclerida",,,,"Microcionidae","Microcioninae",,"Clathria","(Clathria)","asodes","(de Laubenfels 1930)","Clathria (Clathria) asodes"
