input,taxid,taxon,tax_rank,tax_division,parentid,parentname,taxonrep,specimenrecords,representitive_image.image,representitive_image.apectratio
Agelenidae,1360,Agelenidae,family,Animalia,251,Araneae,Agelenidae,3534,TDWGB/TDWG-0962+1288201384.jpg,1.333
Amaurobiidae,1362,Amaurobiidae,family,Animalia,251,Araneae,Amaurobiidae,1143,ALBSP/CCDB-05258-A05+1268763436.JPG,1.333
Amphinectidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anapidae,211731,Anapidae,family,Animalia,251,Araneae,Anapidae,123,SPIPA/SFD1DAR010_FML00482_mm_Anapis_FMLsp1+1192996020.JPG,1.25
Anyphaenidae,1365,Anyphaenidae,family,Animalia,251,Araneae,Anyphaenidae,5356,SPDCH/MLB_0540_habitus_dorsal_ff_Amaurobioides_chilensis+1391719196.jpg,0.75
Araneidae,1376,Araneidae,family,Animalia,251,Araneae,Araneidae,17975,FUNSP/BIOUG20033-C08+1436466474.jpg,1.333
Caponiidae,289897,Caponiidae,family,Animalia,251,Araneae,Caponiidae,162,ARACH/EVDW0095b+1296754024.jpg,1.506
Eutichuridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clubionidae,1405,Clubionidae,family,Animalia,251,Araneae,Clubionidae,5476,ASAAR/L%2312AGP_5519+1428446578.jpg,1.339
Corinnidae,191161,Corinnidae,family,Animalia,251,Araneae,Corinnidae,1420,CORAR/MAI-00967_Copuetta_lacustris_ff_hd+1370044146.jpg,1.333
Ctenidae,285407,Ctenidae,family,Animalia,251,Araneae,Ctenidae,1258,GMACK/BIOUG22969-H09+1459880336.jpg,1.333
Cybaeidae,82354,Cybaeidae,family,Animalia,251,Araneae,Cybaeidae,779,GBMYR/GBOL14040+1433808606.jpg,1.317
Desidae,79971,Desidae,family,Animalia,251,Araneae,Desidae,574,GMRCD/BIOUG26706-H05+1458228748.JPG,1.499
Dictynidae,1343,Dictynidae,family,Animalia,251,Araneae,Dictynidae,5119,GBMYR/GBOL14871+1438714936.jpg,1.446
Diguetidae,25662,Diguetidae,family,Animalia,251,Araneae,NA,8,NA,NA
Dysderidae,1248,Dysderidae,family,Animalia,251,Araneae,Dysderidae,1752,FBARB/BC_ZSM_ARA_00066_Harpactea_lepida_JSP100510003_DSC_1250_best+1273404140.JPG,1.506
Filistatidae,25659,Filistatidae,family,Animalia,251,Araneae,Filistatidae,403,SPDAR/IFM-0799_Filistata_indet._ff_habitus_dorsal_[sv377]+1437675840.jpg,1.333
Gnaphosidae,1395,Gnaphosidae,family,Animalia,251,Araneae,Gnaphosidae,5900,CHEFI/AKO_001132+1425227570.JPG,0.649
Homalonychidae,26385,Homalonychidae,family,Animalia,251,Araneae,NA,24,BBUSA/BBUSA10-03-F09+1279570368.JPG,1.333
Hypochilidae,1387,Hypochilidae,family,Animalia,251,Araneae,NA,37,NA,NA
Leptonetidae,289646,Leptonetidae,family,Animalia,251,Araneae,Leptonetidae,1203,SPIMM/BIOUG90618-A10+1670214250.JPG,1.333
Linyphiidae,1266,Linyphiidae,family,Animalia,251,Araneae,Linyphiidae,36600,SSPAA/bioug06212-c12+1399559060.jpg,1.333
Liocranidae,75163,Liocranidae,family,Animalia,251,Araneae,Liocranidae,485,CHEFI/AKO_001795+1428723186.JPG,0.823
Lycosidae,1311,Lycosidae,family,Animalia,251,Araneae,Lycosidae,19703,KKCHE/hlc-13432+1237985866.JPG,1.333
Mimetidae,1401,Mimetidae,family,Animalia,251,Araneae,Mimetidae,493,RRSPI/BIOUG20596-A02+1439585940.jpg,1.339
Miturgidae,154778,Miturgidae,family,Animalia,251,Araneae,Miturgidae,300,GBMYR/GBOL14955+1443107300.jpg,1.002
Mysmenidae,1404,Mysmenidae,family,Animalia,251,Araneae,Mysmenidae,323,SPIMM/BIOUG75003-G10+1648519088.JPG,1.333
Nemesiidae,286970,Nemesiidae,family,Animalia,251,Araneae,Nemesiidae,1421,BBUSU/BIOUG20594-G10+1461154704.jpg,1.333
Nesticidae,1396,Nesticidae,family,Animalia,251,Araneae,Nesticidae,687,SSFDC/BIOUG13688-F03+1434051688.jpg,1.339
Oecobiidae,82604,Oecobiidae,family,Animalia,251,Araneae,Oecobiidae,205,GMRCG/BIOUG28163-F07+1463764210.jpg,1.333
