,user_supplied_name,submitted_name,data_source_title,score,matched_name2
1,Abietinaria spp,Abietinaria spp,GBIF Backbone Taxonomy,0.75,Abietinaria
2,Acanthina lugubris,Acanthina lugubris,GBIF Backbone Taxonomy,0.988,Acanthina lugubris
3,Acanthina paucilirata,Acanthina paucilirata,GBIF Backbone Taxonomy,0.988,Acanthina paucilirata
4,Acanthinucella spp,Acanthinucella spp,GBIF Backbone Taxonomy,0.75,Acanthinucella
5,Acarnus erithacus,Acarnus erithacus,GBIF Backbone Taxonomy,0.988,Acarnus erithacus
6,Acmaea mitra,Acmaea mitra,GBIF Backbone Taxonomy,0.988,Acmaea mitra
7,Acrosiphonia spp,Acrosiphonia spp,GBIF Backbone Taxonomy,0.75,Acrosiphonia
8,Acrosorium ciliolatum,Acrosorium ciliolatum,GBIF Backbone Taxonomy,0.988,Acrosorium ciliolatum
9,Aeolidia papillosa,Aeolidia papillosa,GBIF Backbone Taxonomy,0.988,Aeolidia papillosa
10,Aglaophenia latirostris,Aglaophenia latirostris,GBIF Backbone Taxonomy,0.988,Aglaophenia latirostris
11,Ahnfeltia fastigiata,Ahnfeltia fastigiata,GBIF Backbone Taxonomy,0.988,Ahnfeltia fastigiata
12,Ahnfeltiopsis gigartinoides,Ahnfeltiopsis gigartinoides,GBIF Backbone Taxonomy,0.988,Ahnfeltiopsis gigartinoides
13,Ahnfeltiopsis leptophylla,Ahnfeltiopsis leptophylla,GBIF Backbone Taxonomy,0.75,Ahnfeltiopsis
14,Ahnfeltiopsis linearis,Ahnfeltiopsis linearis,GBIF Backbone Taxonomy,0.988,Ahnfeltiopsis linearis
15,Alaria marginata,Alaria marginata,GBIF Backbone Taxonomy,0.988,Alaria marginata
16,Alaria nana,Alaria nana,GBIF Backbone Taxonomy,0.988,Alaria nana
17,Alaria taeniata,Alaria taeniata,GBIF Backbone Taxonomy,0.988,Alaria taeniata
18,Alia spp,Alia spp,GBIF Backbone Taxonomy,0.75,Alia
19,Amphipholis squamata,Amphipholis squamata,GBIF Backbone Taxonomy,0.988,Amphipholis squamata
20,Amphiroa beauvoisii,Amphiroa beauvoisii,GBIF Backbone Taxonomy,0.988,Amphiroa beauvoisii
21,Amphissa columbiana,Amphissa columbiana,GBIF Backbone Taxonomy,0.988,Amphissa columbiana
22,Amphissa spp,Amphissa spp,GBIF Backbone Taxonomy,0.75,Amphissa
