,user_supplied_name,submitted_name,data_source_title,score,matched_name2
1,Acidostoma hancocki,Acidostoma hancocki,GBIF Backbone Taxonomy,0.988,Acidostoma hancocki
2,Acila castrensis,Acila castrensis,GBIF Backbone Taxonomy,0.988,Acila castrensis
3,Acoetes pacifica,Acoetes pacifica,GBIF Backbone Taxonomy,0.988,Acoetes pacifica
4,Acromegalomma pigmentum,Acromegalomma pigmentum,GBIF Backbone Taxonomy,0.988,Acromegalomma pigmentum
5,Acteocina cerealis,Acteocina cerealis,GBIF Backbone Taxonomy,0.988,Acteocina cerealis
6,Acteocina culcitella,Acteocina culcitella,GBIF Backbone Taxonomy,0.988,Acteocina culcitella
7,Acteocina harpa,Acteocina harpa,GBIF Backbone Taxonomy,0.988,Acteocina harpa
8,Acteocina inculta,Acteocina inculta,GBIF Backbone Taxonomy,0.988,Acteocina inculta
9,Acteon traskii,Acteon traskii,GBIF Backbone Taxonomy,0.988,Acteon traskii
10,Acuminodeutopus heteruropus,Acuminodeutopus heteruropus,GBIF Backbone Taxonomy,0.988,Acuminodeutopus heteruropus
11,Adontorhina cyclia,Adontorhina cyclia,GBIF Backbone Taxonomy,0.988,Adontorhina cyclia
12,Adontorhina lynnae,Adontorhina lynnae,GBIF Backbone Taxonomy,0.988,Adontorhina lynnae
13,Aglaja ocelligera,Aglaja ocelligera,GBIF Backbone Taxonomy,0.988,Aglaja ocelligera
14,Aglaophamus verrilli,Aglaophamus verrilli,GBIF Backbone Taxonomy,0.988,Aglaophamus verrilli
15,Alamprops carinatus,Alamprops carinatus,GBIF Backbone Taxonomy,0.988,Alamprops carinatus
16,Alamprops quadriplicatus,Alamprops quadriplicatus,GBIF Backbone Taxonomy,0.988,Alamprops quadriplicatus
17,Alia tuberosa,Alia tuberosa,GBIF Backbone Taxonomy,0.988,Alia tuberosa
18,Alvania compacta,Alvania compacta,GBIF Backbone Taxonomy,0.988,Alvania compacta
19,Alvania rosana,Alvania rosana,GBIF Backbone Taxonomy,0.988,Alvania rosana
20,Amaeana occidentalis,Amaeana occidentalis,GBIF Backbone Taxonomy,0.988,Amaeana occidentalis
21,Amage anops,Amage anops,GBIF Backbone Taxonomy,0.988,Amage anops
22,Amage scutata,Amage scutata,GBIF Backbone Taxonomy,0.988,Amage scutata
23,Americhelidium,Americhelidium,GBIF Backbone Taxonomy,0.75,Americhelidium
24,Americhelidium rectipalmum,Americhelidium rectipalmum,GBIF Backbone Taxonomy,0.988,Americhelidium rectipalmum
25,Americhelidium shoemakeri,Americhelidium shoemakeri,GBIF Backbone Taxonomy,0.988,Americhelidium shoemakeri
