NC_project_short_code,final_classification,preliminary_classification,class_code,kingdom,phylum_division,class,order,family,genus,species
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
NC_RockyIt,no data,nodata,0,,,,,,,
