Project Short Code,Species,Kingdom,Phylum,Class,Order,Family,Genus,Specific epithet,Notes
NC_RockyIt,Anoplarchus purpurescens,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,purpurescens,
NC_RockyIt,Apodichthys flavidus,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,flavidus,
NC_RockyIt,Apodichthys fucorum,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,fucorum,
NC_RockyIt,Artedius corallinus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,corallinus,
NC_RockyIt,Artedius fenestralis,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,fenestralis,
NC_RockyIt,Artedius harringtoni,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,harringtoni,
NC_RockyIt,Artedius lateralis,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Artedius,lateralis,
NC_RockyIt,Ascelichthys rhodorus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Ascelichthys,rhodorus,
NC_RockyIt,Cebidichthys violaceus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Cebidichthys,violaceus,
NC_RockyIt,Clinocottus acuticeps,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,acuticeps,
NC_RockyIt,Clinocottus analis,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,analis,
NC_RockyIt,Clinocottus embryum,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,acuticeps,
NC_RockyIt,Clinocottus globiceps,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,globiceps,
NC_RockyIt,Clinocottus recalvus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,recalvus,
NC_RockyIt,Clinocottus spp.,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Clinocottus,spp.,Any Clinocottus that was unable to be identified to the species level
NC_RockyIt,Enophrys bison,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Enophrys,bison,
NC_RockyIt,Gibbonsia metzi,Animalia,Chordata,Teleostei,Perciformes,Clinidae,Gibbonsia,metzi,
NC_RockyIt,Gibbonsia montereyensis,Animalia,Chordata,Teleostei,Perciformes,Clinidae,Gibbonsia,montereyensis,
NC_RockyIt,Gobiesox maeandricus,Animalia,Chordata,Teleostei,Perciformes,Gobisocidae,Gobiesox,maeandricus,
NC_RockyIt,Hemilepidotus hemilepidotus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae, Hemilepidotus, hemilepidotus,
NC_RockyIt,Hemilepidotus spinosus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae, Hemilepidotus,spinosus,
NC_RockyIt,Hexagrammos decagrammus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Hexagrammidae,Hexagrammos,decagrammus,
NC_RockyIt,Hexagrammos lagocephalus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Hexagrammidae,Hexagrammos,lagocephalus,
NC_RockyIt,Liparis florae,Animalia,Chordata,Teleostei,Scorpaeniformes ,Liparidae,Liparis,florae,
NC_RockyIt,Oligocottus maculosus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,maculosus,
NC_RockyIt,Oligocottus rimensis,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,rimensis,
NC_RockyIt,Oligocottus rubellio,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,rubellio,
NC_RockyIt,Oligocottus snyderi,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,snyderi,
NC_RockyIt,Oligocottus spp.,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,spp.,Any Oligoocottus that was unable to be identified to the species level
NC_RockyIt,Phytichthys chirus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Phytichthys,chirus,
NC_RockyIt,Scorpaenichthys marmoratus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Scorpaenichthys,marmoratus,
NC_RockyIt,Sebastes carnatus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Scorpaenidae,Sebastes,carnatus,
NC_RockyIt,Sebastes melanops,Animalia,Chordata,Teleostei,Scorpaeniformes ,Scorpaenidae,Sebastes,melanops,
NC_RockyIt,Sebastes miniatus,Animalia,Chordata,Teleostei,Scorpaeniformes ,Scorpaenidae,Sebastes,miniatus,
NC_RockyIt,Unknown Stichaeid,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,,,Any Stichaeid that was unable to be identified to the genus level
NC_RockyIt,Xiphister atropurpureus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,atropurpureus,
NC_RockyIt,Xiphister mucosus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,mucosus,
