Project Short Code,Species/group,6 letter code,Kingdom,Phylum or Division,Class,Order,Family,Genus,Species,Notes
NC_RockyIt,acanthinucella spp,ACASPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spp,
NC_RockyIt,Alaria marginata,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,alaria,marginata,
NC_RockyIt,alia spp,ALISPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,alia,spp,
NC_RockyIt,amphissa spp,AMPSPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,amphissa,spp,"changed description from amphissa versicolor to amphissa spp. starting SP10, changed six letter code from AMPVER to AMPSPP in FA11 to match class table"
NC_RockyIt,Analipus japonicus,,Plantae,Heterokontophyta,Phaeophyceae,Ectocarpales,Chordariaceae,analipus,japonicus,
NC_RockyIt,Anthopleura elegantissima,,Animalia,Cnidaria,Anthozoa,Actinaria,Actiniidae,anthopleura,elegantissima,
NC_RockyIt,aplysia californica,APLCAL,Animalia,Mollusca,Gastropoda,Anaspidea,Aplysiidae,aplysia,californica,
NC_RockyIt,Articulated corallines,,Plantae,Rhodophyta,Rhodophyceae,Corallinales,Corallinaceae,,,
NC_RockyIt,asterina miniata,ASTMIN,,Animalia,Echinodermata,Asteroidea,Asterinidae,asterina,miniata,
NC_RockyIt,bittium spp,BITSPP,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Cerithiidae,bittium,spp,"changed code from BITESC to BITSPP starting FA11, changed description from bittium eschrictii to bittium spp (species not always reliably identified to species)"
NC_RockyIt,calliostoma ligatum,CALLIG,,Animalia,Mollusca,Gastropoda,Calliostomatidae,calliostoma,ligatum,"added Aug, 2012 based on SSSC data"
NC_RockyIt,calliostoma spp,CALSPP,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,calliostoma,spp,
NC_RockyIt,Callithamnion pikeanum,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Ceramiaceae,callithamnion,pikeanum,
NC_RockyIt,ceratostoma nuttalli,CERNUT,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ceratostoma,nuttalli,
NC_RockyIt,chitons,CHITON,Animalia,Mollusca,Polyplacophora,,,,,
NC_RockyIt,Cladophora columbiana,,Plantae,Chlorophyta,Chlorophyceae,Cladophorales,Cladophoraceae,cladophora,columbiana,
NC_RockyIt,Cobble,,.,.,.,.,.,.,.,
NC_RockyIt,conus californicus,CONCAL,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,conus,californicus,
NC_RockyIt,crepidula spp,CRESPP,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae,crepidula,spp,
NC_RockyIt,Crustose corallines,,Plantae,Rhodophyta,Rhodophyceae,Corallinales,Corallinaceae,,,
NC_RockyIt,dermasterias imbricata,DERIMB,Animalia,Echinodermata,Asteroidea,Spinulosida,Poraniidae,dermasterias,imbricata,
NC_RockyIt,Egregia menziesii,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,egregia,menziesii,
NC_RockyIt,epitonium tinctum,EPITIN,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,epitonium,tinctum,
NC_RockyIt,evasterias troschelii,EVATRO,Animalia,Echinodermata,Asteroidea,,,evasterias,troschelii,"added Aug, 2012 based on SSSC data"
NC_RockyIt,fissurella volcano,FISVOL,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Fissurellidae,fissurella,volcano,
NC_RockyIt,flatworm,FLATWO,Animalia,Platyhelminthes,,,,,,
NC_RockyIt,Gelidium coulteri,,,Plantae,Rhodophyta,Florideophyceae,Gelidiaceae,gelidium,coulteri,
