surveyyear,stratum,stationid,replicate,taxon,abundance,exclude,latitude,longitude,datum,sampledate,revisit,stationdepth,stationdepthunits,areaweight,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,subgenus,species,describer
2018,Bays,B18-10000,1,Amphideutopus oculatus,37,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Caprellida,Photoidea,Kamakidae,Kamakinae,,Amphideutopus,,oculatus,J. L. Barnard 1959 in J. L. Barnard & Reish 1959
2018,Bays,B18-10000,1,Chondrochelia dubia Cmplx,18,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,Tanaidomorpha,,Paratanaoidea,Leptocheliidae,Leptocheliinae,,Chondrochelia,,dubia Cmplx,
2018,Bays,B18-10000,1,Scoletoma sp,16,Yes,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Eunicida,,,Lumbrineridae,,,Scoletoma,,,
2018,Bays,B18-10000,1,Scoletoma sp A,16,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Eunicida,,,Lumbrineridae,,,Scoletoma,,sp A,(Harris 1985 ?)
2018,Bays,B18-10000,1,Chaetozone corona,12,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Terebellida,,,Cirratulidae,,,Chaetozone,,corona,Berkeley & Berkeley 1941
2018,Bays,B18-10000,1,Paramicrodeutopus schmitti,12,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Corophiida,Aoridea,Aoridae,,,Paramicrodeutopus,,schmitti,(Shoemaker 1942)
2018,Bays,B18-10000,1,Laevicardium substriatum,10,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Mollusca,Conchifera,Bivalvia,Heterodonta,,Euheterodonta,Venerida,,,Cardioidea,Cardiidae,Laevicardiinae,,Laevicardium,,substriatum,(Conrad 1837)
2018,Bays,B18-10000,1,Polydora cirrosa,10,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Spionida,,,Spionidae,,,Polydora,,cirrosa,Rioja 1943
2018,Bays,B18-10000,1,Amaeana occidentalis,9,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Terebellida,Terebelliformia,,Terebellidae,Polycirrinae,,Amaeana,,occidentalis,(Hartman 1944)
2018,Bays,B18-10000,1,Mactrotoma californica,9,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Mollusca,Conchifera,Bivalvia,Heterodonta,,Euheterodonta,Venerida,Neoheterodontei,,Mactroidea,Mactridae,Mactrinae,,Mactrotoma,,californica,(Conrad 1837)
2018,Bays,B18-10000,1,Carinoma mutabilis,7,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Nemertea,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,Carinoma,,mutabilis,Griffin 1898
2018,Bays,B18-10000,1,Diopatra ornata,7,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Eunicida,,,Onuphidae,,,Diopatra,,ornata,Moore 1911
2018,Bays,B18-10000,1,Polydora sp,7,Yes,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Spionida,,,Spionidae,,,Polydora,,,
2018,Bays,B18-10000,1,Scleroplax granulata,7,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Brachyura,Pinnotheroidea,Pinnotheridae,Pinnotherinae,,Scleroplax,,granulata,Rathbun 1893
2018,Bays,B18-10000,1,Tagelus subteres,6,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Mollusca,Conchifera,Bivalvia,Heterodonta,,Euheterodonta,Venerida,,,Tellinoidea,Solecurtidae,,,Tagelus,,subteres,(Conrad 1837)
2018,Bays,B18-10000,1,Hartmanodes hartmanae,5,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Eusirida,Oedicerotoidea,Oedicerotidae,,,Hartmanodes,,hartmanae,(J. L. Barnard 1962)
2018,Bays,B18-10000,1,Ampharete labrops,4,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Terebellida,Terebelliformia,,Ampharetidae,Ampharetinae,,Ampharete,,labrops,Hartman 1961
2018,Bays,B18-10000,1,Diplocirrus sp SD1,4,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Terebellida,Cirratuliformia,,Flabelligeridae,,,Diplocirrus,,sp SD1,Rowe 1998 ?
2018,Bays,B18-10000,1,Ericthonius sp SD1,4,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Caprellida,Photoidea,Ischyroceridae,Ischyrocerinae,,Ericthonius,,sp SD1,Pasko 1999 ?
2018,Bays,B18-10000,1,Metasychis disparidentatus,4,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Scolecida,,,,,,,Maldanidae,Maldaninae,,Metasychis,,disparidentatus,(Moore 1904)
2018,Bays,B18-10000,1,Pseudopolydora paucibranchiata,4,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Spionida,,,Spionidae,,,Pseudopolydora,,paucibranchiata,(Okuda 1937)
2018,Bays,B18-10000,1,Scoletoma sp B,4,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Eunicida,,,Lumbrineridae,,,Scoletoma,,sp B,(Harris 1985 ?)
2018,Bays,B18-10000,1,Ampharetidae,3,Yes,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Terebellida,Terebelliformia,,Ampharetidae,,,,,,
2018,Bays,B18-10000,1,Anotomastus gordiodes,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Scolecida,,,,,,,Capitellidae,,,Anotomastus,,gordiodes,(Moore 1909)
2018,Bays,B18-10000,1,Diopatra tridentata,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Eunicida,,,Onuphidae,,,Diopatra,,tridentata,Hartman 1944
2018,Bays,B18-10000,1,Goniada littorea,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Phyllodocida,Glyceriformia,,Goniadidae,,,Goniada,,littorea,Hartman 1950
2018,Bays,B18-10000,1,Kurtiella coani,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Mollusca,Conchifera,Bivalvia,Heterodonta,,Euheterodonta,Venerida,,,Galeommatoidea,Lasaeidae,,,Kurtiella,,coani,(Scott 1998)
2018,Bays,B18-10000,1,Notopoma sp A,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Caprellida,Photoidea,Ischyroceridae,Ischyrocerinae,,Notopoma,,sp A,SCAMIT 2012 ?
2018,Bays,B18-10000,1,Petaloclymene pacifica,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Scolecida,,,,,,,Maldanidae,Euclymeninae,,Petaloclymene,,pacifica,Green 1997
2018,Bays,B18-10000,1,Praxillella pacifica,3,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Scolecida,,,,,,,Maldanidae,Euclymeninae,,Praxillella,,pacifica,E. Berkeley 1929
2018,Bays,B18-10000,1,Ampelisca brevisimulata,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Dexaminida,Ampeliscoidea,Ampeliscidae,,,Ampelisca,,brevisimulata,J. L. Barnard 1954
2018,Bays,B18-10000,1,Amphicteis scaphobranchiata,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Canalipalpata,Terebellida,Terebelliformia,,Ampharetidae,Ampharetinae,,Amphicteis,,scaphobranchiata,Moore 1906
2018,Bays,B18-10000,1,Amphiodia sp,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Echinodermata,Asterozoa,Ophiuroidea,Ophiuridea,,,Ophiurida,Chilophiurina,Gnathophiurina,Gnathophiuridea,Amphiuridae,,,Amphiodia,,,
2018,Bays,B18-10000,1,Caprella californica Cmplx,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Senticaudata,Corophiida,Caprelloidea,Caprellidae,Caprellinae,,Caprella,,californica Cmplx,
2018,Bays,B18-10000,1,Caprella sp,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,Caprellida,Caprelloidea,Caprellidae,Caprellinae,,Caprella,,,
2018,Bays,B18-10000,1,Lumbrineris japonica,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Annelida,,Polychaeta,Palpata,,,Aciculata,Eunicida,,,Lumbrineridae,,,Lumbrineris,,japonica,(Marenzeller 1879)
2018,Bays,B18-10000,1,Macoma yoldiformis,2,No,33.75918333,-118.1626333,NAD83,7/24/2018,Revisit,5,m,2.130057737,Mollusca,Conchifera,Bivalvia,Heterodonta,,Euheterodonta,Venerida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,,yoldiformis,Carpenter 1864
