objectid,siteid,estuaryname,samplecollectiondate,samplelocation,collectionmethod,scientificname,commonname,status,qualifier,abundance,excludefromanalysis,lab,sievelocation,sievesize,sievesizeunits,voucher,personalvoucher,initial,taxonomist,abundancenotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,submissionid,warnings,stationno,login_agency,projectid,fieldreplicate
7,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,NEMATODA,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{7F3D6D23-5BBE-474E-8765-FC49C4DAA62E},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
8,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Dipolydora socialis,,,,21,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{D2082B2C-50E4-470E-857C-658C6968D3E8},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
9,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Laonice nuchala,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{A5400BFF-FE92-4EC5-B64B-0FBB25B4E8F7},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
10,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Paraprionospio alata,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{BB14230C-F7E9-49FB-A57E-88CEE65BB68B},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
11,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Melampus olivaceus,,,,8,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{9BC08B9A-52D9-4049-A46E-044923EC40DD},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
12,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Photis macinerneyi,,,,9,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{FF63E9F6-4C02-42B1-BF7A-8066D536F071},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
13,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Photis sp A,,,,3,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{F67C0B49-556B-4178-9895-C0FA8101D880},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
14,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Gammaridea sp,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{63C177AF-C369-4043-A3E0-A8B916992B0D},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
15,Baja-SQ,Bahia de San Quintin,28/3/2022 00:00:00,intertidal,sediment core,Diptera,,,,1,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{1536556A-A0E5-4179-BAA2-74FAA34D7B06},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,1,SCCWRP,Baja-rails,1
27,Baja-SQ,Bahia de San Quintin,29/3/2022 00:00:00,intertidal,sediment core,Diptera,,,,6,,,lab,500,um,,,,Osmar Roberto Araujo Leyva,SCAMIT V12 classification order,{A0B7EEAB-D1AC-458C-9C76-AF217809C885},checker,20/12/2022 23:57:43,checker,20/12/2022 23:57:43,janw@sccwrp.org,1671580663,,2,SCCWRP,Baja-rails,1
