objectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,identificationnotes,abundance,abundancenotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,warnings,submissionid,status,projectid,method
2292,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,5,Xenistius californiensis,Californian salema,,1,,{136DD9AE-FEA5-46F0-A9F8-16D22AFB74F0},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2293,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,5,Atherinops affinis,topsmelt silverside,,3,,{37FB7CBB-DD09-4CB0-835F-58742F52A141},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2294,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,5,Syngnathus leptorhynchus,bay pipefish,,27,,{BF7AEFBE-2076-4E48-AEC3-1B98BF8E88F6},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2296,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,5,Paralabrax clathratus,kelp bass,,7,,{5F4C3F7F-C1EC-4730-B0E1-C76F6F4F65F9},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2297,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,6,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{54176061-A477-4190-A775-ACA85A092AB9},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2298,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,6,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{55693816-56FE-4506-A00D-74505CD949AF},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2299,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,6,Hypsoblennius gentilis,bay blenny,,-88,marked for present/absent,{EFA81193-2042-4407-B6CF-AF11D7D9C92C},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2301,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,7,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{21AE6D40-EF90-47A6-A0F5-B638CF806411},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2496,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,8,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{1334E6EF-78C0-4ECA-928D-702EB7CE26E8},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2497,SC-BAT,Batiquitos Lagoon,2,20/4/2022 00:00:00,beach seine,8,Acentrogobius nebulosus,shadow goby,,-88,marked for present/absent,{CB6DF0AD-8161-469F-BD84-E2B64AB9E35D},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,PA
