objectid,siteid,estuaryname,stationno,samplecollectiondate,transectreplicate,plotreplicate,substrate,covertype,scientificname,commonname,status,estimatedcover,percentcovercode,daubenmiremidpoint,tallestplantheight_cm,percentcovernotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,habitat,live_dead,submissionid,warnings,identificationnotes,unknownreplicate,projectid
4007,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,3,1,Mud,vegetation,Batis maritima,saltwort,native,25,3,15,30,,{01A8E00F-ED73-405C-BF44-822FC8AAD1FB},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4008,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,3,2,Mud,vegetation,Batis maritima,saltwort,native,30,4,37.5,39,,{204CCFB7-9E38-407C-9D5B-791D90996091},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4009,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,3,3,Mud,vegetation,Batis maritima,saltwort,native,25,3,15,27,,{42419F2F-B3EE-4BB2-B30D-E1FAB7B3F6D7},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4010,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,3,4,Mud,vegetation,Batis maritima,saltwort,native,15,3,15,37,,{FEC58F9D-FCFF-49DA-9A92-F6EA2B577B6D},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4011,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,3,5,Mud,vegetation,Batis maritima,saltwort,native,35,4,37.5,24,,{971B9B4B-0A26-4C3C-B3DE-37EA912DC28F},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4012,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,2,1,Mud,vegetation,Batis maritima,saltwort,native,25,3,15,15,,{F1512DEE-5045-48A9-97BF-9402160F6FAD},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4013,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,2,2,Mud,vegetation,Batis maritima,saltwort,native,20,3,15,19,,{2A0AF733-30F4-4F62-92A5-4D63D10FF2C2},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4014,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,2,3,Mud,vegetation,Batis maritima,saltwort,native,10,3,15,16,,{5F1FB0AF-6479-493B-B8EC-3D4EFBABFA25},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4015,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,2,4,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,10,,{B5F257E4-E7C6-47B9-AB93-1D3CA110FE01},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4016,Baja-SQ,Bahia de San Quintin,1,28/3/2022 00:00:00,2,5,Mud,vegetation,Batis maritima,saltwort,native,10,3,15,11,,{2EAFAF92-2908-4D60-B30A-ADEEB5A8146B},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4017,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,1,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,12,,{9A6B4F81-3196-4B9B-A958-D7CA67D6CB95},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4018,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,2,Mud,vegetation,Batis maritima,saltwort,native,10,3,15,18,,{867B27AE-82F3-4F76-BDBB-65B363781EFD},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4019,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,3,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,20,,{E26D7F14-03BA-4E2C-9286-F6795DC10EE2},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4020,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,4,Mud,vegetation,Batis maritima,saltwort,native,18,3,15,19,,{3C3591BE-299F-4426-9B99-D9BE11F6BCF3},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4021,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,3,5,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,16,,{643B0766-F5B5-4208-BC88-8098498E7B84},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Low marsh,Live,1664421516,,,-88,Baja-rails
4022,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,1,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,20,,{C20D43EA-AC76-4107-90E9-C521E0811444},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
4023,Baja-SQ,Bahia de San Quintin,2,29/3/2022 00:00:00,2,2,Mud,vegetation,Batis maritima,saltwort,native,5,2,3,13,,{BC1BAAB1-D03C-480D-8338-A50DC5209188},checker,29/9/2022 03:18:36,zaibq@sccwrp.org,18/7/2023 14:55:57,janw@sccwrp.org,SCCWRP,Mid marsh,Live,1664421516,,,-88,Baja-rails
1116,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,1,Not recorded,vegetation,Jaumea carnosa,fleshy jaumea,native,2,2,3,10,Not recorded,{171D5DF6-6E71-4E03-96E0-8BA708A1CFB7},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1212,SC-GOL,Goleta Slough,2,23/3/2021 00:00:00,2,4,Not recorded,vegetation,Salicornia pacifica,Pickleweed,native,30,4,37.5,50,Not recorded,{9AB456D1-CE8E-4CB9-93BA-95B36A42E026},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Dead,1637789686,,-88,-88,EMPA
1213,SC-GOL,Goleta Slough,2,23/3/2021 00:00:00,2,5,Not recorded,vegetation,Salicornia pacifica,Pickleweed,native,60,5,62.5,44,Not recorded,{7F7E1DD3-1FA3-40FE-A67B-3D88409AE7D9},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Live,1637789686,,-88,-88,EMPA
1214,SC-GOL,Goleta Slough,2,23/3/2021 00:00:00,2,5,Not recorded,vegetation,Salicornia pacifica,Pickleweed,native,20,3,15,54,Not recorded,{4E3EAB1D-CC98-4660-926C-13BBADF3E12D},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Dead,1637789686,,-88,-88,EMPA
1269,SC-GOL,Goleta Slough,1,25/3/2021 00:00:00,1,4,Not recorded,vegetation,Cuscuta salina,salt dodder,native,15,3,15,-88,Not recorded,{4406C4EF-F8D6-436E-ADD0-19A90B157DF7},checker,24/11/2021 21:34:46,zaibq@sccwrp.org,14/7/2023 10:58:00,zaibq@sccwrp.org,SCCWRP,Mid marsh,Not recorded,1637789686,,-88,-88,EMPA
