"ProjectShortCode","taxserial","CommonName","SCINAME","Kingdom","Class","Phylum","Family","Order","Genus","Species"
"NC_ROV",22.00,"UI cod","Unidentified Gadidae","Animalia","Actinopterigyii","Chordata","Gadidae","Gadiformes","NA","NA"
"NC_ROV",23.00,"UI flatfish","Pleuronectidae","Animalia","Actinopterigyii","Chordata","Pleuronectidae","Pleuronectiformes","NA","NA"
"NC_ROV",25.00,"UI shark","Unidentified shark","Animalia","Chondrichthyes","Chordata","NA","NA","NA","NA"
"NC_ROV",26.00,"UI small benthic fish","Unidentified small benthic fish","Animalia","NA","Chordata","NA","NA","NA","NA"
"NC_ROV",30.00,"Olive/Yellowtail complex","Sebastes serranoides or flavidus","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastes","serranoides or flavidus"
"NC_ROV",31.00,"Canary/Vermillion complex","Sebastes pinniger or miniatus","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastes","pinniger or miniatus"
"NC_ROV",32.00,"Small schooling rockfish","Schooling rockfish (10-15 cm)","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastes","NA"
"NC_ROV",33.00,"UI schooling pelagic","Unidentified schooling pelagic fish","Animalia","NA","Chordata","NA","NA","NA","NA"
"NC_ROV",44.00,"Sebastomus rockfish","Subgenus Sebastomus ","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastes (sub genus Sebastomus)","NA"
"NC_ROV",51.00,"Thornyhead complex","Sebastolobus altivelis or alascanus","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastolobus","altivelis or alascanus"
"NC_ROV",78.00,"Combfish complex","Zaniolepis frenata or latipinnis","Animalia","Actinopterigyii","Chordata","Hexagrammidae","Scorpaeniformes","Zaniolepis","frenata or latipinnis"
"NC_ROV",87.00,"Squarespot/Widow complex","Sebastes hopkinsi or entomelas","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastes","hopkinsi or entomelas"
"NC_ROV",88.00,"Black/Blue complex","Sebastes melanops or mystinus","Animalia","Actinopterigyii","Chordata","Scorpaenidae","Scorpaeniformes","Sebastes","melanops or mystinus"
"NC_ROV",102.00,"UI smelt","Unidentified Osmeridea","Animalia","Actinopterigyii","Chordata","Osmeridea","Osmeriformes","NA","NA"
"NC_ROV",103.00,"UI goby","Unidentified Gobiidae","Animalia","Actinopterigyii","Chordata","Gobiidae","Perciformes","NA","NA"
"NC_ROV",159819.00,"Sixgill shark","Hexanchus griseus","Animalia","Chondrichthyes","Chordata","Hexanchidae","Hexanchiformes","Hexanchus","griseus"
"NC_ROV",160617.00,"Spiny dogfish","Squalus acanthias","Animalia","Chondrichthyes","Chordata","Squalidae","Squaliformes","Squalus","acanthias"
"NC_ROV",160846.00,"UI skate","Unidentified Raja sp.","Animalia","Chondrichthyes","Chordata","Rajidae","Rajiformes","Raja","NA"
"NC_ROV",160848.00,"Big skate","Raja binoculata","Animalia","Chondrichthyes","Chordata","Rajidae","Rajiformes","Raja","binoculata"
"NC_ROV",160851.00,"Longnose skate","Raja rhina","Animalia","Chondrichthyes","Chordata","Rajidae","Rajiformes","Raja","rhina"
"NC_ROV",160854.00,"Starry skate","Raja stellulata","Animalia","Chondrichthyes","Chordata","Rajidae","Rajiformes","Raja","stellulata"
"NC_ROV",161015.00,"Spotted ratfish","Hydrolagus colliei","Animalia","Chondrichthyes","Chordata","Chimaeridae","Chimeriformes","Hydrolagus","colliei"
