"ProjectShortCode","taxserial","CommonName","SCINAME","Kingdom","Class","Phylum","Family","Order","Genus","Species"
"NC_ROV",24.00,"UI tube dwelling anemone","Unidentified tube dwelling anemone","Animalia","Anthozoa","Cnidaria","NA","Ceriantharia","NA","NA"
"NC_ROV",27.00,"UI boot sponge","Unidentified boot sponge","Animalia","NA","Porifera ","NA","NA","NA","NA"
"NC_ROV",34.00,"UI sand dwelling anemone","Unidentified sand dwelling anemone","Animalia","Anthozoa","Cnidaria","NA","Actiniaria","NA","NA"
"NC_ROV",47.00,"UI nipple sponge","Unidentified nipple sponge","Animalia","NA","Porifera ","NA","NA","NA","NA"
"NC_ROV",57.00,"UI branched sponge","Unidentified branched sponge","Animalia","NA","Porifera ","NA","NA","NA","NA"
"NC_ROV",67.00,"UI lobed sponge/tunicate","Unidentified lobed sponge/tunicate","Animalia","NA","Porifera ","NA","NA","NA","NA"
"NC_ROV",76.00,"UI trumpet Sponge","Unidentified trumpet sponge","Animalia","NA","Porifera ","NA","NA","NA","NA"
"NC_ROV",81.00,"UI anemone","Unidentified anemone","Animalia","Anthozoa","Cnidaria","NA","Actiniaria","NA","NA"
"NC_ROV",91.00,"UI whelk","Unidentified whelk","Animalia","Gastropoda","Mollusca","NA","NA","NA","NA"
"NC_ROV",97.00,"UI sea star","Unidentified sea star","Animalia","Asteroidea","Echinodermata","NA","NA","NA","NA"
"NC_ROV",100.00,"Fragile pink urchin","Strongylocentrotus fragilis","Animalia","Echinoidea","Echinodermata","Strongylocentrotidae","Echinoida","Strongylocentrotus","fragilis"
"NC_ROV",106.00,"Market squid","Loligo opalescens","Animalia","Cephalopoda","Mollusca","Loliginidae","Teuthida","Loligo","opalescens"
"NC_ROV",200.00,"Sunflower star complex","Rathbunaster californicus or Pycnopodia helianthoides","Animalia","Asteroidea","Echinodermata","Asteriidae","Forcipulatida","Rathbunaster / Pycnopodia","californicus / helianthoides"
"NC_ROV",203.00,"Bat star/red star complex","Asterina miniata or Mediaster aequalis","Animalia","Asteroidea","Echinodermata","Asterinidae / Goniasteridae","Valvatida","Asterina / Mediaster","miniata / aequalis"
"NC_ROV",210.00,"UI zoanthid","Unidentified zoanthid","Animalia","Anthozoa","Cnidaria","NA","Zoantharia","NA","NA"
