ProjectShortCode,taxserial,CommonName,SCINAME,Kingdom,Class,Phylum,Family,Order,Genus,Species
NC_ROV,24,UI tube dwelling anemone,Unidentified tube dwelling anemone,Animalia,Anthozoa,Cnidaria,NA,Ceriantharia,NA,NA
NC_ROV,27,UI boot sponge,Unidentified boot sponge,Animalia,NA,Porifera ,NA,NA,NA,NA
NC_ROV,34,UI sand dwelling anemone,Unidentified sand dwelling anemone,Animalia,Anthozoa,Cnidaria,NA,Actiniaria,NA,NA
NC_ROV,47,UI nipple sponge,Unidentified nipple sponge,Animalia,NA,Porifera ,NA,NA,NA,NA
NC_ROV,57,UI branched sponge,Unidentified branched sponge,Animalia,NA,Porifera ,NA,NA,NA,NA
NC_ROV,67,UI lobed sponge/tunicate,Unidentified lobed sponge/tunicate,Animalia,NA,Porifera ,NA,NA,NA,NA
NC_ROV,76,UI trumpet Sponge,Unidentified trumpet sponge,Animalia,NA,Porifera ,NA,NA,NA,NA
NC_ROV,81,UI anemone,Unidentified anemone,Animalia,Anthozoa,Cnidaria,NA,Actiniaria,NA,NA
NC_ROV,91,UI whelk,Unidentified whelk,Animalia,Gastropoda,Mollusca,NA,NA,NA,NA
NC_ROV,97,UI sea star,Unidentified sea star,Animalia,Asteroidea,Echinodermata,NA,NA,NA,NA
NC_ROV,100,Fragile pink urchin,Strongylocentrotus fragilis,Animalia,Echinoidea,Echinodermata,Strongylocentrotidae,Echinoida,Strongylocentrotus,fragilis
NC_ROV,106,Market squid,Loligo opalescens,Animalia,Cephalopoda,Mollusca,Loliginidae,Teuthida,Loligo,opalescens
NC_ROV,200,Sunflower star complex,Rathbunaster californicus or Pycnopodia helianthoides,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Rathbunaster / Pycnopodia,californicus / helianthoides
NC_ROV,203,Bat star/red star complex,Asterina miniata or Mediaster aequalis,Animalia,Asteroidea,Echinodermata,Asterinidae / Goniasteridae,Valvatida,Asterina / Mediaster,miniata / aequalis
NC_ROV,210,UI zoanthid,Unidentified zoanthid,Animalia,Anthozoa,Cnidaria,NA,Zoantharia,NA,NA
NC_ROV,218,Purple/red urchin complex,Mesocentrotus franciscanus or Strongylocentrotus purpuratus,Animalia,Echinoidea,Echinodermata,Strongylocentrotidae,Echinoida,Strongylocentrotus / Mesocentrotus,purpuratus / franciscanus
NC_ROV,219,UI branched sea cucumber,Unidentified branched sea cucumber,Animalia,Holothuroidea,Echinodermata,NA,NA,NA,NA
NC_ROV,222,UI branched bryozoan,Unidentified branching bryozoan,Animalia,NA,Bryozoa,NA,NA,NA,NA
NC_ROV,224,UI tubeworm,Unidentified tubeworm,Animalia,NA,NA,NA,NA,NA,NA
NC_ROV,226,UI sea jelly,Unidentified sea jelly,Animalia,NA,Cnidaria,NA,NA,NA,NA
NC_ROV,227,Mushroom soft coral,Anthomastus ritteri,Animalia,Anthozoa,Cnidaria,Alcyoniidae,Alcyonacea,Anthomastus,ritteri
NC_ROV,229,Solaster sun star complex,Solaster sp.,Animalia,Asteroidea,Echinodermata,Solasteridae,Velatida,Solaster,NA
NC_ROV,231,UI yellow boot sponge,Unidentified yellow boot sponge,Animalia,NA,Porifera ,NA,NA,NA,NA
NC_ROV,232,UI salp,Unidentified salp,Animalia,Thaliacea,Chordata,Salpidae,Salpida,NA,NA
