count_classcode,short_code,campus,genus,species,group,lifestage,other_char
1,ali_spp,OSU,Alia,.,snail,recruit,.
1,ali_spp,OSU,Alia,spp,snail,recruit,.
2,bal_cre,OSU,Balanus,crenatus,barnacle,recruit,.
2,bal_cre,UCSB,Balanus,crenatus,barnacle,recruit,.
3,bal_cre_cyprid,OSU,Balanus,crenatus,barnacle,cyprid,.
4,bal_gla,OSU,Balanus,glandula,barnacle,recruit,.
4,bal_gla,UCSB,Balanus,glandula,barnacle,recruit,.
4,bal_gla,UCSC,Balanus,glandula,barnacle,recruit,.
5,bal_gla_cyprid,OSU,Balanus,glandula,barnacle,cyprid,.
5,bal_gla_cyprid,UCSB,Balanus,glandula,barnacle,cyprid,.
5,bal_gla_cyprid,UCSC,Balanus,glandula,barnacle,cyprid,.
6,bal_spp,OSU,Balanus,spp,barnacle,recruit,.
7,bal_spp_cyprid,OSU,Balanus,spp,barnacle,cyprid,.
8,bal_tri,OSU,Balanus,trigonus,barnacle,recruit,.
9,barnacle,OSU,.,.,barnacle,recruit,.
9,barnacle,UCSB,.,.,barnacle,recruit,.
10,barnacle_cyprid,OSU,.,.,barnacle,cyprid,.
10,barnacle_cyprid,UCSB,.,.,barnacle,cyprid,.
11,barnacle_cyprid_total,UCSB,.,.,barnacle,cyprid,total
11,barnacle_cyprid_total,UCSC,.,.,barnacle,cyprid,total
12,bivalve_1,UCSB,.,.,bivalve,recruit,.
12,bivalve,OSU,.,.,bivalve,recruit,.
13,bivalve_2,UCSC,.,.,bivalve,recruit,.
14,cae_cal,UCSB,Caecum,californicum,gastropod,recruit,.
15,can_pro,OSU,Cancer,productus,crab,recruit,.
16,can_spp,OSU,Cancer,spp,crab,recruit,.
17,chiton,UCSB,.,.,chiton,recruit,.
18,cht_dal,OSU,Chthamalus,dalli,barnacle,recruit,.
19,cht_dal_cyprid,OSU,Chthamalus,dalli,barnacle,cyprid,.
20,cht_spp,UCSB,Chthamalus,.,barnacle,recruit,.
20,cht_spp,UCSC,Chthamalus,.,barnacle,recruit,.
21,cht_spp_cyprid,UCSB,Chthamalus,.,barnacle,cyprid,.
21,cht_spp_cyprid,UCSC,Chthamalus,.,barnacle,cyprid,.
22,clam,OSU,.,.,clam,recruit,.
22,clam,UCSB,.,.,clam,recruit,.
