sample_type,sample_subtype,classcode,genus,species,description_common_spp_name
FISH,FISH,AAFF,Atherinops,affinis,Topsmelt
FISH,FISH,ACAL,Atherinopsis,californiensis,Jacksmelt
FISH,FISH,ACOR,Artedius,corallinus,Coralline Sculpin
FISH,FISH,ADAV,Anisotremus,davidsonii,Sargo
FISH,FISH,AFLA,Aulorhynchus,flavidus,Tubesnout
FISH,FISH,AHOL,Alloclinus,holderi,Island Kelpfish
FISH,FISH,AINE,Anoplagonus,inermis,Smooth alligatorfish
FISH,FISH,ANOB,Atractoscion,nobilis,white seabass
FISH,FISH,AOCE,Anarrhichthys,ocellatus,Wolf Eel
FISH,FISH,ASAN,Apodichthys,sanctaerosae,Kelp Gunnel
FISH,FISH,ATHE,Atherinopsidae,spp.,"Grunion, Topsmelt or Jacksmelt"
FISH,FISH,AVUL,Alopias,vulpinus,Thresher Shark
FISH,FISH,BAITBALL,,,"Bait, Sardines/Anchovies"
FISH,FISH,BAITBALL,,,"Bait, Sardines/Anchovies"
FISH,FISH,BATH,Bathymasteridae,spp.,Ronquils
FISH,FISH,BFRE,Brachyistius,frenatus,Kelp Surfperch
FISH,FISH,BLEN,Blenniidae,spp.,Blennies
FISH,FISH,BOTH,Bothidae/Paralichthyidae,spp.,Lefteyed flounders/Large toothed flounders
FISH,FISH,BPOL,Balistes,polylepis,Finescale Triggerfish
FISH,FISH,BRAY,Myliobatis,californica,Bat Ray
FISH,FISH,BRAY,Myliobatis,californica,Bat Ray
FISH,FISH,CAGG,Cymatogaster,aggregata,Shiner Surfperch
FISH,FISH,CFAL,Chaetodon,falcifer,Scythemarked Butterflyfish
FISH,FISH,CITH,Citharichthys,spp.,Sanddabs
FISH,FISH,CLIN,Clinidae,spp.,Kelpfishes and Fringeheads
FISH,FISH,CLUP,Clupeidae,spp.,Sardines and anchovies
FISH,FISH,CNUG,Chirolophis  ,nugator,Mosshead warbonnet
FISH,FISH,COTT,Cottidae,spp.,Sculpins
FISH,FISH,CPRI,Caulolatilus,princeps,Ocean Whitefish
FISH,FISH,CPUG,Chitonotus,pugetensis,Roughback Sculpin
FISH,FISH,CPUN,Chromis,punctipinnis,Blacksmith
FISH,FISH,CSAT,Cheilotrema,saturnum,Black Croaker
FISH,FISH,CSOR,Citharichthys,sordidus,Pacific Sanddab
FISH,FISH,CSTI,Citharichthys,stigmaeus,Speckled Sanddab
FISH,FISH,CVEN,Cephaloscyllium,ventriosum,Swell Shark
FISH,FISH,CVIO,Cebidichthys,violaceus,Monkeyface Eel
FISH,FISH,EJAC,Embiotoca,jacksoni,Black Surfperch
FISH,FISH,ELAT,Embiotoca,lateralis,Striped Surfperch
FISH,FISH,EMBI,Embiotocidae,spp.,Surfperches
FISH,FISH,EMOR,Engraulis,mordax,Northern Anchovy
FISH,FISH,GBY,Sebastes,chrysomelas/carnatus,Gopher and black-and-yellow rockfish YOY
FISH,FISH,GGAL,Galeorhinus,galeus,Tope Shark
FISH,FISH,GIBB,Gibbonsia,spp.,Kelpfish
FISH,FISH,GIBB,Gibbonsia,spp.,Kelpfish
FISH,FISH,GIBB,Gibbonsia,spp.,Kelpfish
FISH,FISH,GMOR,Gymnothorax,mordax,California Moray
FISH,FISH,GMOR,Gymnothorax,mordax,California Moray
FISH,FISH,GNIG,Girella,nigricans,Opaleye
FISH,FISH,GOBI,Gobiidae,spp.,Gobies
FISH,FISH,HANA,Hyperprosopon,analis,Spotfin Surfperch
FISH,FISH,HANA,Hyperprosopon,analis,Spotfin Surfperch
FISH,FISH,HARG,Hyperprosopon,argenteum,Walleye Surfperch
FISH,FISH,HAZU,Hermosilla,azurea,Zebra-perch sea chub
FISH,FISH,HCAR,Hypsurus,caryi,Rainbow Surfperch
FISH,FISH,HDEC,Hexagrammos,decagrammus,Kelp Greenling
FISH,FISH,HELL,Hyperprosopon,ellipticum,Silver Surfperch
FISH,FISH,HFRA,Heterodontus,francisci,Horn Shark
FISH,FISH,HLAG,Hexagrammos,lagocephalus,Rock Greenling
FISH,FISH,HLAG,Hexagrammos,lagocephalus,Rock Greenling
FISH,FISH,HROS,Heterostichus,rostratus,Giant Kelpfish
FISH,FISH,HRUB,Hypsypops,rubicundus,Garibaldi
FISH,FISH,HSEM,Halicoeres,semicinctus,Rock Wrasse
FISH,FISH,JZON,Jordania,zonope,Longfin Sculpin
FISH,FISH,KGB,Sebastes,"atrovirens,carnatus,chrysomelas,caurinus","Kelp, Gopher, Copper, Black-and-Yellow Rockfish YOY"
FISH,FISH,KSEI,Kasatkia,seigeli,Six-spot Prickleback
FISH,FISH,LCON,Lethops,connectens,"Kelp Goby, Halfblind Goby"
FISH,FISH,LDAL,Lythrypnus,dalli,Bluebanded Goby
FISH,FISH,LHIR,Leiocottus,hirundo,Lavender Sculpin
FISH,FISH,LIPA,Liparis,spp.,Snailfish
FISH,FISH,LLEP,Lepidogobius,lepidus,bay goby
FISH,FISH,LMUC,Liparis,mucosus,Slimy Snailfish
FISH,FISH,MCAL,Medialuna,californiensis,Halfmoon
FISH,FISH,MCEP,Mugil,cephalus,Mullet
FISH,FISH,MMIN,Micropetrus,minimus,Dwarf Surfperch
FISH,FISH,MMOL,Mola,Mola,Ocean Sunfish
FISH,FISH,MXEN,Mycteroperca,xenarcha   , Broomtail grouper 
FISH,FISH,NBLA,Neoclinus,blanchardi,Sarcastic fringehead
FISH,FISH,NO_ORG,,,No organisms present in this sample
FISH,FISH,NSTE,Neoclinus,stephensae,Yellowfin Fringehead
FISH,FISH,NUNI,Neoclinus,uninotatus,Onespot Fringehead
FISH,FISH,OCAL,Oxyjulis,californica,Senorita
FISH,FISH,OCAL,Oxyjulis,californica,Senorita
FISH,FISH,OELO,Ophiodon,elongatus,Lingcod
FISH,FISH,OPIC,Oxylebius,pictus,Painted Greenling
FISH,FISH,OTRI,Orthonopias,triacis,snubnose sculpin
FISH,FISH,OYB,Sebastes,"serranoides,flavidus,melanops",rockfish YOY (Sebastosomus)
FISH,FISH,OYB,Sebastes,"flavidus, melanops, serranoides","Olive, Yellowtail, Black Rockfish complex"
FISH,FISH,OYT,Sebastes,"serranoides,flavidus",olive or yellowtail  rockfish 
FISH,FISH,OYT,Sebastes,"serranoides,flavidus",olive or yellowtail  rockfish 
FISH,FISH,OYT,Sebastes,"serranoides,flavidus",olive or yellowtail  rockfish 
FISH,FISH,PATR,Phanerodon,atripes,sharpnose surfperch
FISH,FISH,PCAL,Paralichthys,californicus,california halibut
FISH,FISH,PCLA,Paralabrax,clathratus,"kelp bass, calico bass"
FISH,FISH,PCOE,Plueronichthys,coenosus,C-O turbot
FISH,FISH,PFUR,Phanerodon,furcatus,white surfperch
FISH,FISH,PGLA,Prionace,glauca,blue shark
FISH,FISH,PHOL,Pholididae,spp.,Gunnels
FISH,FISH,PHOL,Pholididae,spp.,Gunnels
FISH,FISH,PLEU,Pleuronectidae,spp.,Righteyed flounders
FISH,FISH,PLEU,Pleuronectidae,spp.,Righteyed flounders
FISH,FISH,PMAC,Paralabrax,maculatofasciatus,spotted sandbass
FISH,FISH,PNEB,Paralabrax,nebulifer,barred sandbass
FISH,FISH,PNOT,Porichthys ,notatus,plainfin midshipman
FISH,FISH,PTRI,Platyrhinoides,triseriata,thornback
FISH,FISH,RHYP,Rathbunella,hypoplecta,smooth ronquil
FISH,FISH,RJOR,Ronquilus,jordani,northern ronquil
