SC_project_short_code,final_classification_NameConvergence,preliminary_classification_OriginalName,class_code,SixLetterCode,kingdom,phylum_division,class,order,family,genus,species
SC_Rocky_It,calliostoma ligatum,calliostoma ligatum,,CALLIG,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,Calliostoma,ligatum
SC_Rocky_It,nucella lima,nucella lima,,NUCLIM,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,lima
SC_Rocky_It,onchidoris bilamellata,onchidoris bilamellata,,ONCBIL,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,bilamellata
SC_Rocky_It,abietinaria greenei,abietinaria greenei,1492,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,greenei
SC_Rocky_It,abietinaria spp,abietinaria spp,1,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,spp
SC_Rocky_It,acanthina lugubris,acanthina lugubris,2,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,lugubris
SC_Rocky_It,acanthina paucilirata,acanthina paucilirata,3,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,paucilirata
SC_Rocky_It,acanthina punctulata,acanthina punctulata,,ACAPUN,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,punctulata
SC_Rocky_It,acanthina spirata,acanthina spirata,,ACASPI,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spirata
SC_Rocky_It,acanthinucella spp,acanthina spp,,ACASPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spp
SC_Rocky_It,acanthinucella spp,ACASPP,,ACASPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spp
SC_Rocky_It,acanthinucella spp,acanthina spp,4,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,spp
SC_Rocky_It,acanthinucella spp,acanthinucella spp,5,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,spp
SC_Rocky_It,acanthinucella spp,undetermined,942,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,spp
SC_Rocky_It,acarnus erithacus,acarnus erithacus,6,,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,erithacus
SC_Rocky_It,acarnus erithacus,sponge,6,,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,erithacus
SC_Rocky_It,acmaea mitra,acmaea mitra,7,,Animalia,Mollusca,Gastropoda,,Acmaeidae,Acmaea,mitra
SC_Rocky_It,acorn barnacle,acorn barnacle,,ACOBAR,Animalia,Arthropoda,Maxillopoda,Sessilia,,,
SC_Rocky_It,acorn barnacle,barnacle,,ACOBAR,Animalia,Arthropoda,Maxillopoda,Sessilia,,,
SC_Rocky_It,acrosiphonia spp,acrosiphonia coalita,8,,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
SC_Rocky_It,acrosiphonia spp,acrosiphonia saxitalis,9,,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
SC_Rocky_It,acrosiphonia spp,acrosiphonia spp,10,,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
SC_Rocky_It,acrosiphonia/cladophora spp,acrosiphonia/cladophora spp,11,,Plantae,Chlorophyta,Ulvophyceae,,,acrosiphonia/cladophora,spp
SC_Rocky_It,acrosorium ciliolatum,acrosorium ciliolatum,12,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
SC_Rocky_It,acrosorium ciliolatum,acrosorium ciliolatum,1455,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
SC_Rocky_It,acrosorium ciliolatum,acrosorium ciliolatum,1774,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
SC_Rocky_It,acrosorium ciliolatum,acrosorium unicatum,13,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
SC_Rocky_It,acrosorium ciliolatum,undetermined,1290,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
SC_Rocky_It,adula/lithophaga spp,adula/lithophaga spp,14,,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,adula/lithophaga,spp
SC_Rocky_It,aeolidia papillosa,aeolidia papillosa,15,,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,papillosa
SC_Rocky_It,aglaophenia latirostris,aglaophenia latirostris,16,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,latirostris
SC_Rocky_It,ahnfeltia fastigiata,ahnfeltia fastigiata,18,,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata
SC_Rocky_It,ahnfeltia fastigiata,ahnfeltia plicata,19,,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata
SC_Rocky_It,ahnfeltia fastigiata,undetermined,754,,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata
SC_Rocky_It,ahnfeltiopsis gigartinoides,ahnfeltiopsis gigartinoides,1528,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,gigartinoides
SC_Rocky_It,ahnfeltiopsis gigartinoides,undetermined,1052,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,gigartinoides
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,789,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,802,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1647,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1650,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1695,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1713,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1742,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1879,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1886,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1887,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,1897,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,2076,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,2078,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,ahnfeltiopsis/gymnogongrus spp,23,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,gymnogongrus leptophyllus,22,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,gymnogongrus leptophyllus,276,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,gymnogongrus leptophyllus,277,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis leptophylla,gymnogongrus platyphyllus,278,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
SC_Rocky_It,ahnfeltiopsis linearis,ahnfeltiopsis linearis,,AHNLIN,Plantae,Rhodophyta,Rhodophyceae,Gigartinales,Phyllophoraceae,ahnfeltiopsis,linearis
SC_Rocky_It,ahnfeltiopsis linearis,ahnfeltiopsis linearis,1443,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,linearis
SC_Rocky_It,ahnfeltiopsis linearis,gymnogongrus linearis,24,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,linearis
SC_Rocky_It,ahnfeltiopsis/ahnfeltia spp,ahnfeltia spp,20,,Plantae,Rhodophyta,Florideophyceae,,,,spp
SC_Rocky_It,ahnfeltiopsis/ahnfeltia spp,ahnfeltiopsis/ahnfeltia spp,1529,,Plantae,Rhodophyta,Florideophyceae,,,,spp
SC_Rocky_It,alaria marginata,alaria marginata,,ALAMAR,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,alaria,marginata
SC_Rocky_It,alaria marginata,alaria marginata,25,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,marginata
SC_Rocky_It,alaria marginata,undetermined,911,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,marginata
SC_Rocky_It,alaria nana,alaria nana,26,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,nana
SC_Rocky_It,alaria nana,alaria nana,735,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,nana
SC_Rocky_It,alaria spp,alaria spp,1493,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,spp
SC_Rocky_It,alaria taeniata,alaria taeniata,724,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,taeniata
SC_Rocky_It,alaria taeniata,alaria taeniata,734,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,taeniata
SC_Rocky_It,alaria taeniata,alaria taeniata,769,,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,taeniata
SC_Rocky_It,alia spp,ALISPP,,ALISPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,alia,spp
SC_Rocky_It,alia spp,alia spp,27,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,spp
SC_Rocky_It,alia spp,alia spp,436,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,spp
SC_Rocky_It,alia spp,mitrella carinata,28,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,spp
SC_Rocky_It,all crustose algae,all crustose algae,,ALLCRU,Plantae,,,,,,
SC_Rocky_It,all turf species,all turf species,,ALLTUR,Plantae,,,,,,
SC_Rocky_It,amphipholis squamata,amphipholis squamata,29,,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,squamata
SC_Rocky_It,amphiroa beauvoisii,amphiroa beauvoisii,30,,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
SC_Rocky_It,amphiroa beauvoisii,amphiroa beauvoisii,1444,,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
SC_Rocky_It,amphiroa beauvoisii,amphiroa beauvoisii,1926,,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
SC_Rocky_It,amphiroa beauvoisii,amphiroa zonata,31,,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
SC_Rocky_It,amphiroa spp,amphiroa spp,1592,,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,spp
SC_Rocky_It,amphissa columbiana,amphissa columbiana,32,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,columbiana
SC_Rocky_It,amphissa spp,AMPSPP,,AMPSPP,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,amphissa,spp
SC_Rocky_It,amphissa spp,amphissa spp,33,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,spp
