NC_project_short_code,sample_type,species_classcode,taxa,genus,species,description
NC_Kelp_Srock,FISH,AAFF,Atherinops affinis,Atherinops,affinis,"Topsmelt,"
NC_Kelp_Srock,FISH,AARG, Amphistichus argenteus,,Amphistichus argenteus,"Barred Surfperch, Added in 2012, counted by Vantuna Research Group as part of 2011 Baseline"
NC_Kelp_Srock,FISH,ACAL,Atherinopsis californiensis,Atherinopsis,californiensis,"Jacksmelt,"
NC_Kelp_Srock,FISH,ACOR,Artedius corallinus,Artedius,corallinus,"Coralline Sculpin,"
NC_Kelp_Srock,FISH,ADAV,Anisotremus davidsonii,Anisotremus,davidsonii,"Sargo,"
NC_Kelp_Srock,FISH,AFLA,Aulorhynchus flavidus,Aulorhynchus,flavidus,"Tubesnout,"
NC_Kelp_Srock,FISH,AHOL,Alloclinus holderi,Alloclinus,holderi,"Island Kelpfish,"
NC_Kelp_Srock,FISH,AINE,Anoplagonus inermis,Anoplagonus,inermis,"Smooth Alligatorfish,"
NC_Kelp_Srock,FISH,ANOB,Atractoscion nobilis,Atractoscion,nobilis,"White Seabass,"
NC_Kelp_Srock,FISH,AOCE,Anarrhichthys ocellatus,Anarrhichthys,ocellatus,"Wolf Eel,"
NC_Kelp_Srock,FISH,APFL,Apodichthys flavidus,Apodichthys,flavidus,"Penpiont Gunnel,"
NC_Kelp_Srock,FISH,ASAN,Apodichthys sanctaerosae,Apodichthys,sanctaerosae,"Kelp Gunnel,"
NC_Kelp_Srock,FISH,ATHE,Atherinopsidae spp.,Atherinopsidae,spp.,"Grunion, Topsmelt or Jacksmelt, unidentified sp."
NC_Kelp_Srock,FISH,AVUL,Alopias vulpinus,Alopias,vulpinus,"Thresher Shark,"
NC_Kelp_Srock,FISH,BAITBALL,,,,"Bait, Sardines/Anchovies,"
NC_Kelp_Srock,FISH,BATH,Bathymasteridae spp.,Bathymasteridae,spp.,"Ronquils, unidentified sp., possibly Rathbunella hypoplecta"
NC_Kelp_Srock,FISH,BFRE,Brachyistius frenatus,Brachyistius,frenatus,"Kelp Surfperch,"
NC_Kelp_Srock,FISH,BLEN,Blenniidae spp.,Blenniidae,spp.,"Blennies, unidentifed sp."
NC_Kelp_Srock,FISH,BOTH,Bothidae spp.,Bothidae,spp.,"Lefteyed Flounders, unidentifed sp."
NC_Kelp_Srock,FISH,BPOL,Balistes polylepis,Balistes,polylepis,"Finescale Triggerfish,"
NC_Kelp_Srock,FISH,BRAY,Myliobatis californica,Myliobatis,californica,"Bat Ray,"
NC_Kelp_Srock,FISH,CAGG,Cymatogaster aggregata,Cymatogaster,aggregata,"Shiner Surfperch,"
NC_Kelp_Srock,FISH,CANA,Clinocottus analis,Clinocottus,analis,"Wooly Sculpin,"
NC_Kelp_Srock,FISH,CFAL,Chaetodon falcifer,Chaetodon,falcifer,"Scythemarked Butterflyfish,"
NC_Kelp_Srock,FISH,CITH,Citharichthys spp.,Citharichthys,spp.,"Sanddabs, unidentifed sp."
NC_Kelp_Srock,FISH,CLIN,Clinidae spp.,Clinidae,spp.,"Kelpfishes and Fringeheads, unidentifed sp."
NC_Kelp_Srock,FISH,CLUP,Clupeidae spp.,Clupeidae,spp.,"Sardines and Anchovies, unidentifed sp."
NC_Kelp_Srock,FISH,CNUG,Chirolophis nugator,Chirolophis,nugator,"Mosshead Warbonnet,"
NC_Kelp_Srock,FISH,COTT,Cottidae spp.,Cottidae,spp.,"Sculpins, unidentifed sp."
NC_Kelp_Srock,FISH,CPRI,Caulolatilus princeps,Caulolatilus,princeps,"Ocean Whitefish,"
NC_Kelp_Srock,FISH,CPUG,Chitonotus pugetensis,Chitonotus,pugetensis,"Roughback Sculpin,"
NC_Kelp_Srock,FISH,CPUN,Chromis punctipinnis,Chromis,punctipinnis,"Blacksmith,"
NC_Kelp_Srock,FISH,CSAT,Cheilotrema saturnum,Cheilotrema,saturnum,"Black Croaker,"
NC_Kelp_Srock,FISH,CSOR,Citharichthys sordidus,Citharichthys,sordidus,"Pacific Sanddab,"
NC_Kelp_Srock,FISH,CSTI,Citharichthys stigmaeus,Citharichthys,stigmaeus,"Speckled Sanddab,"
NC_Kelp_Srock,FISH,CVEN,Cephaloscyllium ventriosum,Cephaloscyllium,ventriosum,"Swell Shark,"
NC_Kelp_Srock,FISH,CVIO,Cebidichthys violaceus,Cebidichthys,violaceus,"Monkeyface Eel,"
NC_Kelp_Srock,FISH,EBIS,Enophrys bison,Enophrys,bison,"Buffalo Sculpin,"
NC_Kelp_Srock,FISH,EJAC,Embiotoca jacksoni,Embiotoca,jacksoni,"Black Surfperch,"
NC_Kelp_Srock,FISH,ELAT,Embiotoca lateralis,Embiotoca,lateralis,"Striped Surfperch,"
NC_Kelp_Srock,FISH,EMBI,Embiotocidae spp.,Embiotocidae,spp.,"Surfperches, unidentifed sp."
NC_Kelp_Srock,FISH,EMOR,Engraulis mordax,Engraulis,mordax,"Northern Anchovy,"
NC_Kelp_Srock,FISH,EWAL,Ernogrammus walkeri,Ernogrammus,walkeri,"Masked Prickleback,"
NC_Kelp_Srock,FISH,GBY, ,,,"Sebastes Chrysomelas or S. Carnatus Rockfish Young Of Year, Consists of Gopher/Black and Yellow/Copper YOYs that are old enough to be distinguished from Kelp rockfish (subset of KGB YOYs)"
NC_Kelp_Srock,FISH,GGAL,Galeorhinus galeus,Galeorhinus,galeus,"Tope Shark,"
NC_Kelp_Srock,FISH,GIBB,Gibbonsia spp.,Gibbonsia,spp.,"Kelpfish, unidentified sp."
NC_Kelp_Srock,FISH,GMAE,Gobiesox maeandricus,Gobiesox,maeandricus,"Northern Clingfish,"
NC_Kelp_Srock,FISH,GMOR,Gymnothorax mordax,Gymnothorax,mordax,"California Moray,"
NC_Kelp_Srock,FISH,GNIG,Girella nigricans,Girella,nigricans,"Opaleye,"
NC_Kelp_Srock,FISH,GOBI,Gobiidae spp.,Gobiidae,spp.,"Gobies, unidentified sp."
NC_Kelp_Srock,FISH,HANA,Hyperprosopon analis,Hyperprosopon,analis,"Spotfin Surfperch,"
NC_Kelp_Srock,FISH,HARG,Hyperprosopon argenteum,Hyperprosopon,argenteum,"Walleye Surfperch,"
NC_Kelp_Srock,FISH,HAZU,Hermosilla azurea,Hermosilla,azurea,"Zebra-Perch Sea Chub,"
NC_Kelp_Srock,FISH,HCAR,Hypsurus caryi,Hypsurus,caryi,"Rainbow Surfperch,"
NC_Kelp_Srock,FISH,HDEC,Hexagrammos decagrammus,Hexagrammos,decagrammus,"Kelp Greenling,"
NC_Kelp_Srock,FISH,HELL,Hyperprosopon ellipticum,Hyperprosopon,ellipticum,"Silver Surfperch,"
NC_Kelp_Srock,FISH,HEXA,Hexagrammos spp.,Hexagrammos,spp.,"Unidentified Hexagrammos, used first in NCCSR 2010 for juveniles too small to distinguish between HDEC and HLAG"
NC_Kelp_Srock,FISH,HFRA,Heterodontus francisci,Heterodontus,francisci,"Horn Shark,"
NC_Kelp_Srock,FISH,HHEM,Hemilepidotus hemilepidotus,Hemilepidotus,hemilepidotus,"Red Irish Lord,"
NC_Kelp_Srock,FISH,HLAG,Hexagrammos lagocephalus,Hexagrammos,lagocephalus,"Rock Greenling,"
NC_Kelp_Srock,FISH,HROS,Heterostichus rostratus,Heterostichus,rostratus,"Giant Kelpfish,"
NC_Kelp_Srock,FISH,HRUB,Hypsypops rubicundus,Hypsypops,rubicundus,"Garibaldi,"
NC_Kelp_Srock,FISH,HSEM,Halicoeres semicinctus,Halicoeres,semicinctus,"Rock Wrasse,"
NC_Kelp_Srock,FISH,HSTE,Hexagrammos stelleri,Hexagrammos,stelleri,"Whitespotted Greenling,"
NC_Kelp_Srock,FISH,JZON,Jordania zonope,Jordania,zonope,"Longfin Sculpin,"
NC_Kelp_Srock,FISH,KGB,"Sebastes atrovirens,carnatus,chrysomelas,caurinus",Sebastes,"atrovirens,carnatus,chrysomelas,caurinus","Rockfish YOY (Pteropodus), This species group includes Sebastes atrovirens, S. carnatus, S. chrysomelas, S. caurinus (Kelp/Gopher/Black and Yellow/Copper)"
NC_Kelp_Srock,FISH,KSEI,Kasatkia seigeli,Kasatkia,seigeli,"Six-spot Prickleback,"
NC_Kelp_Srock,FISH,LCON,Lethops connectens,Lethops,connectens,"Kelp Goby, Halfblind Goby,"
NC_Kelp_Srock,FISH,LDAL,Lythrypnus dalli,Lythrypnus,dalli,"Bluebanded Goby,"
NC_Kelp_Srock,FISH,LHIR,Leiocottus hirundo,Leiocottus,hirundo,"Lavender Sculpin,"
NC_Kelp_Srock,FISH,LIPA,Liparis spp.,Liparis,spp.,"Snailfish, unidentified sp."
NC_Kelp_Srock,FISH,LLEP,Lepidogobius lepidus,Lepidogobius,lepidus,"Bay Goby,"
NC_Kelp_Srock,FISH,LMUC,Liparis mucosus,Liparis,mucosus,"Slimy Snailfish,"
NC_Kelp_Srock,FISH,MCAL,Medialuna californiensis,Medialuna,californiensis,"Halfmoon,"
NC_Kelp_Srock,FISH,MCEP,Mugil cephalus,Mugil,cephalus,"Mullet,"
NC_Kelp_Srock,FISH,MMIN,Micropetrus minimus,Micropetrus,minimus,"Dwarf Surfperch, Seen in 2011"
NC_Kelp_Srock,FISH,MMOL,Mola Mola,Mola,Mola,"Ocean Sunfish,"
NC_Kelp_Srock,FISH,MXEN,Mycteroperca xenarcha,Mycteroperca,xenarcha,"Broomtail Grouper,"
NC_Kelp_Srock,FISH,NBLA,Neoclinus blanchardi,Neoclinus,blanchardi,"Sarcastic Fringehead, Seen in 2011"
NC_Kelp_Srock,FISH,NO_ORG, ,,,"No organisms present in this sample,"
NC_Kelp_Srock,FISH,NSTE,Neoclinus stephensae,Neoclinus,stephensae,"Yellowfin Fringehead,"
NC_Kelp_Srock,FISH,NUNI,Neoclinus uninotatus,Neoclinus,uninotatus,"Onespot Fringehead,"
NC_Kelp_Srock,FISH,OCAL,Oxyjulis californica,Oxyjulis,californica,"Senorita,"
NC_Kelp_Srock,FISH,OELO,Ophiodon elongatus,Ophiodon,elongatus,"Lingcod,"
NC_Kelp_Srock,FISH,OPIC,Oxylebius pictus,Oxylebius,pictus,"Painted Greenling,"
NC_Kelp_Srock,FISH,OTRI,orthonopias triacis,orthonopias,triacis,"Snubnose Sculpin,"
NC_Kelp_Srock,FISH,OYB,"Sebastes serranoides,flavidus,melanops",Sebastes,"serranoides,flavidus,melanops","Rockfish YOY (Sebastosomus), This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black)"
NC_Kelp_Srock,FISH,OYT,"Sebastes serranoides,flavidus",Sebastes,"serranoides,flavidus","Olive or Yellowtail  Rockfish, This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail)"
NC_Kelp_Srock,FISH,PATR,Phanerodon atripes,Phanerodon,atripes,"Sharpnose Surfperch,"
NC_Kelp_Srock,FISH,PCAL,Paralichthys californicus,Paralichthys,californicus,"California Halibut,"
NC_Kelp_Srock,FISH,PCLA,Paralabrax clathratus,Paralabrax,clathratus,"Kelp Bass, Calico Bass,"
NC_Kelp_Srock,FISH,PCOE,Plueronichthys coenosus,Plueronichthys,coenosus,"C-O Turbot,"
NC_Kelp_Srock,FISH,PFUR,Phanerodon furcatus,Phanerodon,furcatus,"White Surfperch,"
NC_Kelp_Srock,FISH,PGLA,Prionace glauca,Prionace,glauca,"Blue Shark,"
NC_Kelp_Srock,FISH,PHOL,Pholididae spp.,Pholididae,spp.,"Gunnels, unidentified sp.  'Apodichthys flavidus-penpoint gunnel lumped in with PHOL"
NC_Kelp_Srock,FISH,PLEU,Pleuronectidae spp.,Pleuronectidae,spp.,"Righteyed Flounders, unidentified sp."
NC_Kelp_Srock,FISH,PMAC,Paralabrax maculatofasciatus,Paralabrax,maculatofasciatus,"Spotted Sandbass,"
NC_Kelp_Srock,FISH,PNEB,Paralabrax nebulifer,Paralabrax,nebulifer,"Barred Sandbass,"
NC_Kelp_Srock,FISH,PNOT,Porichthys notatus,Porichthys,notatus,"Plainfin Midshipman,"
NC_Kelp_Srock,FISH,PTRI,Platyrhinoides triseriata,Platyrhinoides,triseriata,"Thornback,"
NC_Kelp_Srock,FISH,RALL,Rathbunella alleni,Rathbunella,alleni,"Stripefin Ronquil,"
NC_Kelp_Srock,FISH,RATH,Rathbunella spp.,Rathbunella,spp.,"Ronquils, unidentified sp."
NC_Kelp_Srock,FISH,RBIN,Raja binoculata,Raja,binoculata,"Big Skate,"
NC_Kelp_Srock,FISH,RFYOY,Sebastes spp.,Sebastes,spp.,"rockfish young of the year, unidentified sp., Any unidentified YOY rockfish"
NC_Kelp_Srock,FISH,RHYP,Rathbunella hypoplecta,Rathbunella,hypoplecta,"Smooth Ronquil,"
NC_Kelp_Srock,FISH,RJOR,Ronquilus jordani,Ronquilus,jordani,"Northern Ronquil,"
NC_Kelp_Srock,FISH,RNIC,Rhinogobiops nicholsii,Rhinogobiops,nicholsii,"Blackeye Goby,"
NC_Kelp_Srock,FISH,RPRO, Rhinobatos productus,,Rhinobatos productus,"Shovelnose Guitarfish, Added in 2012, counted by Vantuna Research Group as part of 2011 Baseline"
NC_Kelp_Srock,FISH,RRIC,Rhamphocottus richardsoni,Rhamphocottus,richardsoni,"Grunt Sculpin,"
NC_Kelp_Srock,FISH,RSTE,Raja stellulata,Raja,stellulata,"Starry Skate,"
NC_Kelp_Srock,FISH,RTOX,Rhacochilus toxotes,Rhacochilus,toxotes,"Rubberlip Surfperch,"
NC_Kelp_Srock,FISH,RVAC,Rhacochilus vacca,Rhacochilus,vacca,"Pile Surfperch,"
NC_Kelp_Srock,FISH,SACA,Squalus acanthias,Squalus,acanthias,"Spiny Dogfish,"
NC_Kelp_Srock,FISH,SARG,Sphyraena argentea,Sphyraena,argentea,"California Barracuda,"
NC_Kelp_Srock,FISH,SATR,Sebastes atrovirens,Sebastes,atrovirens,"Kelp Rockfish,"
NC_Kelp_Srock,FISH,SAUR,Sebastes auriculatus,Sebastes,auriculatus,"Brown Rockfish,"
NC_Kelp_Srock,FISH,SCAL,Squatina californica,Squatina,californica,"Pacific Angel Shark,"
NC_Kelp_Srock,FISH,SCAR,Sebastes carnatus,Sebastes,carnatus,"Gopher Rockfish,"
NC_Kelp_Srock,FISH,SCAR/SCAU,"Sebastes carnatus, caurinus",Sebastes,"carnatus, caurinus","Gopher, Copper Rockfish Complex, Some rockfish recruits in 2011 were difficult to distinguish and were lumped"
NC_Kelp_Srock,FISH,SCAU,Sebastes caurinus,Sebastes,caurinus,"Copper Rockfish,"
NC_Kelp_Srock,FISH,SCHI,Sarda chiliensis,Sarda,chiliensis,"Eastern Pacific Bonito,"
NC_Kelp_Srock,FISH,SCHR,Sebastes chrysomelas,Sebastes,chrysomelas,"Black and Yellow Rockfish,"
NC_Kelp_Srock,FISH,SDAL,Sebastes dalli,Sebastes,dalli,"Calico Rockfish,"
NC_Kelp_Srock,FISH,SDIP,Sebastes diploproa,Sebastes,diploproa,"Spitnose Rockfish,"
